Email,Phone,First Name,Last Name,Country,Zip
,+9779851221317,Cut,Beauty Salon & Training Academy,NP,44600
,+9779762285334,D,Infinity salon & academy,NP,44700
,+9779763375596,YESHAWANI,SPA,NP,44600
,+9779841285928,Femina,Beauty Home & Training Center,NP,44700
,+9779828899657,Taj,Beauty Salon Unisex & Academy,NP,44700
,+9779819992045,STYLE,ZONE The Unisex salon,NP,44700
,+9779828070646,The,wow beauty hub,NP,44600
,+9779803650008,brows,inn,NP,44700
,+9779849699449,Feminist,Beauty Parlour,NP,44700
,+9779826124237,Artistry,Unisex Hair And Beauty Salon,NP,44600
,+9779803034909,Wedding,Gown Plus Merina Beauty Parlour And Training Center,NP,44700
,+97715410123,Icon,unisex salon,NP,44700
,+9779851313064,Subha,Beauty Salon & Training Centre,NP,44600
,+97715920550,The,Barber Hub Unisex Salon!,NP,44600
,+9779841181345,Bird,Beauty Academy,NP,44600
,+9779823651100,Ash,Hair N Beauty Salon,NP,44700
,+9779860280463,Glam,And Glow Nails Academy,NP,44700
,+9779851244591,TST,Parlour & Training Centre,NP,44600
,+9779823039150,Mint,Unisex Salon,NP,44700
,+9779803650008,बाल,ग्लोस सैलून र छाला हेरविचार,NP,44700
,+9779810367699,Yl,Nail Studio,NP,44700
,+9779767599952,The,Barber Hair & Beauty Salon,NP,44600
,+9779849305767,Megha's,Beauty Parlour,NP,44700
,+9779705651123,Poonam,Beauty Parlour & Training Center,NP,44700
,+9779841852070,Shreya,beauty parlour,NP,44600
,+9779863021694,The,ladies world beauty home and training center,NP,44700
,+9779849206098,Aa-jaay,cuts unisex saloon,NP,44600
,+9779851335313,Beauty,Lord unisex salon,NP,33800
,+9779821357118,Peach,Perfect Waxing,NP,44700
,+9779767864373,New,moon beauty spa,NP,44700
,+9779851327286,Aaska,Glamour Academy Satdobato Branch,NP,44700
,+9779841456890,Peare,"stylish beauty home &training center,Kumaripati",NP,44600
,+9779707473465,Wave,salon gwarko Lalitpur,NP,44700
,+9779842838977,KAASHAVI,BEAUTY SALON WITH COSMETIC AND TRAINING CENTER,NP,44200
,+9779869127095,STYLE,SPELL BEAUTY SALON & ACADEMY,NP,
,+9779841741989,Yashrim,beauty parlour,NP,44700
,+9779841567304,Sunshine,Beauty Parlour & Training Center,NP,44600
,+9779808774256,Samsara,makeup studio and beauty hub,NP,
,+9779815618770,Lookisimo,Nails and Eyelashes Extension Salon,NP,44600
,+9779702454339,Bekha,Salon,NP,44600
,+9779818402370,Ultimate,Hair Studio & Salon,NP,44700
,+97715910400,LePosh,Luxury Unisex Salon,NP,44600
,+9779841708304,Glamour,Makeup Studio,NP,
,+9779851048658,Makeup,Durbar,NP,44600
,+9779708961650,Casa,Salon,NP,44800
,+9779843159994,Scissor,Sisters Hair and Beauty Salon,NP,44800
,+9779862937648,SR,Unisex Beauty Salon and Make-up Studio,NP,44800
,+9779841514869,Krishnaaz,Makeup Studio (Radhe Radhe),NP,44800
,+9779851277936,SAMANA,The Beauty Gallery,NP,44800
,+9779841996131,Prava,Beauty Salon and Training Center,NP,
,+9779860112064,Creative,hair and beauty salon radhe radhe,NP,
,+9779763499950,Kathmandu,hair and beauty studio,NP,44800
,+97715915853,crown,& curls unisex salon,NP,44600
,+9779707934890,Beauty,Heaven Spa,NP,44600
,+9779860695770,Guras,Beauty Parlor And Cosmetic Center,NP,44600
,+9779864011394,Golden,Glow Beauty Studio and Training Center,NP,44800
,+9779841018064,Karuna's,Beauty Parlour,NP,44800
,+9779803657699,Shine,beauty salon and makeup studio,NP,44600
,+9779818011095,Siruz,Beauty Academy and Makeup Studio,NP,44600
,+9779849629268,Beauty,Station Makeup Studio and Institute,NP,44600
,+9779841432130,Essence,unisex parlour,NP,44600
,+9779860390146,Flourish.thebeautystudio,,NP,44600
,+9779841631392,निशा,ब्यूटी पार्लर एण्ड कस्मेटीक,NP,44600
,+9779860869790,Rose,beauty parlor lokanthali,NP,44600
,+9779851341545,Sajhya,Glam Studio,NP,44600
,+9779860678210,C,RAS BEAUTY STUDIO & ACADEMY By Makeupwithrashmeein,NP,44800
,+9779848006384,Lee-Rai,Korean Beauty Salon and Spa,NP,44600
,+9779843318117,Amicable,Beauty & Hair Salon,NP,45800
,+9779861116992,The,mirror salon,NP,44800
,+97716635153,Barshu,Beauty Parlour And Cosmetics,NP,44600
,+9779849279559,Stylefix,Hair Studio Kamalbinayak Bhaktapur,NP,44800
,+9779843269816,Sakira,Beauty Parlour & Cosmetics,NP,44800
,+9779801790148,Birendra,Unisex Salon,NP,44800
,+9779841431984,Glamor,Beauty Point,NP,
,+9779841648601,New,Face Beauty Parlour & Training Centre,NP,44800
,+9779843269896,Blossoms,Beauty Parlour & Nails Studio,NP,44800
,+9779851176621,Glamour,Beauty Hub And Make Up Studio,NP,44800
,+9779803100825,सुरज,हेयर कटिङ्ग सैलुन,NP,44800
,+97716615321,कृष्नाज,मेकअप स्टुडियो,NP,44601
,+9779849423898,Sama,Beauty Arts And Training Institute,NP,44800
,+9779841110064,R.k.,Cosmetics And Beauty Parlour,NP,44800
,+9779761808022,Manzila's,Skin Care & Beauty Salon,NP,44800
,+9779818119797,सिद्ध,पोखरी ब्युटी पार्लर एन्ड ट्रेनिङ सेन्टर,NP,44800
,+9779849618723,DISHMI,BEAUTY PARLOR,NP,
,+97716610568,Aakarshan,Beauty Parlour,NP,44800
,+9779869164816,Sarmeez,Beauty Zone & Training Center,NP,44800
,+9779849170011,श्रृया,ब्युटी पार्लर एण्ड कस्मेटिक सेन्टर,NP,44800
,+9779849355582,सुमी,लेडीज टेलर्स एण्ड जेनी ब्यूटी पार्लर,NP,44800
,+9779843317338,Reshma,Beauty Club & Training Institute,NP,44800
,+9779851038794,Birendra,Gents Parlour and salon,NP,44600
,+9779869290716,Sk,beauty home,NP,44800
,+97716615680,Om,Cosmetics & Beauty Palour,NP,44800
,+97716611120,श्रृङ्गार,ब्युटि पार्लर,NP,44800
,+9779861173478,Apekshya,beauty salon,NP,44800
,+9779860113467,Muna,Makeover Studio,NP,44800
,+9779849893915,एन्जला,ब्युटी पार्लर ट्र्‍ेनिङ्ग एण्ड कस्मेटिक्स सेन्टर,NP,44800
,+97716615567,सरीता,पार्लर एण्ड ट्र्‍ेनिङ्ग सेन्टर,NP,44800
,+9779851001080,Sat,Saheeb Beauty Clinic,NP,44800
,+9779849129343,White,rose beauty parlour and training center,NP,44800
,+9779813550545,Catchy,Beauty Zone & Training Institute,NP,44800
,+9779840051040,R.L,COSMETIC AND BEAUTY CLINIC,NP,44800
,+9779861387678,Beauty,with Inisha,NP,44800
,+97716617677,Aaha,Collection Beauty Parlour,NP,44800
,+9779849752970,प्रकृति,ब्यूटी पार्लर,NP,44800
,+9779808252044,लक्ष्मी,ब्यूटि क्लिनिक एण्ड टर्‍ेनिङ्ग सेन्टर,NP,44800
,+97716617051,Sweta,Beauty Home & Training Center,NP,44800
,+9779851202248,Manu,Beauty Parlour,NP,44800
,+9779841114215,चमक,सौन्दर्य घर,NP,44800
,+9779845392593,Perfection,Unisex Salon & Training Center,NP,
,+97716612295,ठीक,ब्यूटी पार्लर र ट्रेनिंग सेन्टर,NP,44800
,+9779849177304,ब्युटि,केयर कस्मेटिक एण्ड ब्युटिपार्लर,NP,44800
,+9779841818450,Prettys,Beauty Care & Training Centre,NP,44100
,+9779843206182,Shova,beauty parlour,NP,
,+9779818048808,Gossip,"Beauty parlour, Cosmetics and Gift Shop",NP,44800
,+9779861488278,Rituz,Cosmoline & Parlor,NP,44800
,+9779808312076,Sangee's,Beauty & Wellness,NP,44800
,+9779808735848,Beauty,with style studio,NP,44800
,+9779849720179,Sanam,makeup studio,NP,44800
,+97716616314,श्री,श्रृंगार ब्यूटी पार्लर,NP,44800
,+9779841621667,Deepika,Beauty Home And Training Point,NP,44800
,+9779818825221,सौन्दर्य,विश्व,NP,44800
,+9779860968947,Make,up with jeena,NP,44800
,+9779841958850,फेमिना,"ब्युटी पार्लर, कस्मेटिक एण्ड ट्रेनिङ्ग सेन्टर",NP,44800
,+9779868553444,Sakura,Beauty Salon,NP,44600
,+9779803550467,Beauty,Zone parlour and training center,NP,44600
,+9779840832195,Hamro,Hair Studio(Unisex Salon),NP,44600
,+9779842748877,Shahinoor,Unisex Salon Kritipur,NP,44600
,+9779841819129,Rising,Beauty Salon & Training Center Tahachal,NP,44600
,+9779841993410,Samaachhen,(समा:छेँ) The Beauty Home,NP,44600
,+9779801196612,Beauty,Sheen,NP,44600
,+9779847637163,Swornima,Beauty Salon,NP,44600
,+9779843222202,The,Tiara Unisex Salon,NP,44600
,+9779860645129,उज्ज्वल,ब्यूटी,NP,44618
,+9779709239003,The,Scissors Unisex Salon,NP,44700
,+9779849087449,Sosha's,Beauty Parlor,NP,44600
,+97714335201,Reshma,Beauty Parlor,NP,44618
,+9779823222040,Trisha,Herbal Beauty Parlour,NP,44600
,+9779805012512,Kalanki,>Eky Beauty Lounge Academy,NP,44600
,+9779869635783,Yashu,Unisex Beauty Saloon,NP,44600
,+9779765045556,De',Bibha Beauty Salon,NP,44600
,+9779841321855,The,Hair Port,NP,44600
,+9779849420502,Hair,De Beauty Spot,NP,44600
,+9779702131333,NOVA,Beauty Salon & Academy,NP,44600
,+9779860863246,Charming,Blossom Studio,NP,44600
,+9779848101111,Studio21,makeup studio & unisex salon,NP,44600
,+9779851313412,Suragini,Beauty Salon & Spa,NP,44600
,+9779843934831,Manila's,Beauty Parlour,NP,44600
,+97715252016,BLISS,by Sakil Kunwar Chhaya Center,NP,44600
,+9779803139648,Shahnaz,Beauty Home,NP,44618
,+9779803813093,Ushine,,NP,44600
,+9779843917840,Ruina,Beauty Home,NP,44618
,+9779841330199,शालिनी,ब्यूटी पार्लर र ट्रेनिंग सेन्टर,NP,44618
,+9779869635783,Yashu,Unisex Saloon,NP,44600
,+9779841728523,B&B,beauty home,NP,44618
,+9779841718921,Lotus,Cosmetics,NP,44600
,+97715922281,Bevel,Unisex Salon - Best Salon In Kathmandu,NP,44600
,+97715387409,स्वर्गदूतले,गरेको सौंदर्य हेरविचार,NP,44614
,+9779851313412,New,Suragini Beauty Parlour,NP,44618
,+9779866478188,Glam,House Unisex Parlour And Academy,NP,44600
,+9779841098272,घाम,सौन्दर्य घर र प्रशिक्षण केन्द्र,NP,44600
,+9779745696332,Classic,Hair & Beauty Unisex Salon,NP,44600
,+9779841609114,Royal,Beauty Salon,NP,44600
,+9779704528147,VedaSalonBoudha,,NP,44600
,+9779841996161,LumiGlow,Beauty Hub,NP,44600
,+9779814628739,Aaska,Glamour Academy Pvt Ltd -Kalanki Branch,NP,44600
,+9779805509979,Good,New ITC Beauty Hub & Skin Care Center,NP,44600
,+9779843086555,Glow&Shine,Beauty Parlour & Cosmetics,NP,44600
,+9779823695421,MEDPA,Hair Cutting Sewa,NP,44618
,+9779823065528,Samragi,beauty salon by Ashvika,NP,44600
,+9779800690765,New,Esther super salon,NP,44618
,+9779813390027,korean,beauty salon,NP,44600
,+9779768712251,Capital,Spa,NP,44600
,+9779841329966,Apollo,Beauty Station,NP,44600
,+9779840243810,Sindur,beauty salon and training center,NP,44600
,+97714794675,Ananeke,Beauty Salon,NP,44600
,+9779803608589,OA'S,Beauty & Bubbles Preety Salon,NP,44600
,+9779860872271,Aaina,Unisex Salon& Academy,NP,44600
,+9779808582117,Hello,Nepal,NP,44600
,+9779841939959,लोटस,ब्यूटी पार्लर र प्रशिक्षण केन्द्र,NP,44600
,+9779849421634,krisha,beauty parlor,NP,44600
,+9779813722230,Nail,art & mehendi,NP,44600
,+9779860920921,UNISEX,SALOON,NP,44600
,+9779849150150,Lookz,Beauty Parlour,NP,44600
,+9779800649496,Classy,Hair & Beauty Unisex Salon,NP,44600
,+97714521231,Veda,Hair Salon,NP,44600
,+9779860461304,Sama,Beauty Parlour,NP,44600
,+9779869784965,Hidden,beauty parlour,NP,44600
,+9779840292943,Om,SPA & Beauty Salon,NP,44700
,+9779707295997,Renew,health care spa,NP,44600
,+9779803279279,TG,Beauty Care & Academy P.LTD,NP,44600
,+9779860644590,Sabi,Beauty Hub and Training Centre,NP,00977
,+9779822224444,U&Me,- UNISEX SALON & MAKEUP STUDIO,NP,44600
,+9779818120171,Kripa,glam & Cosmetics,NP,44600
,+9779851171276,RL,Beauty Home Lokanthali,NP,00977
,+9779808174753,LADLY,BEAUTY EXPRESS & TRANING CENTRE,NP,44600
,+9779841731276,Blush,and Bloom makeup studio,NP,44600
,+9779841675962,Orchid,Beauty Studio.,NP,44600
,+9779841311201,Samlet,Beauty Parlour & Training Center,NP,44600
,+9779811683137,R.B.,Parlor And Spa,NP,44600
,+97714600631,Valentino,Unisex Salon,NP,44600
,+9779841432130,Lokanthali,opposite to jadibuti tarkari bajar,NP,44600
,+9779841485717,Trishna,beauty parlor,NP,44600
,+9779803002756,Rubina,Beauty parlour,NP,44600
,+9779763488180,Flora,Spa,NP,44600
,+9779826070846,Kaushika,Ko Beauty Home,NP,
,+9779841752850,Riza,Beauty Parlor,NP,44600
,+9779741836325,Shadow,Beauty Salon,NP,44600
,+9779841475655,Royal,de' Salon,NP,
,+9779702434785,Noyana,Beauty Hub,NP,44600
,+9779849576762,Manisha,Beauty Parlor And Training Center,NP,44600
,+9779841490868,Sandhya,Beauty parlour,NP,44600
,+9779827622340,RT,NAIL AND BEAUTY STUDIO,NP,44600
,+9779824687999,Ridhi,sidhi beauty parlour & training center,NP,44600
,+9779709086075,Sage,& Glow Beauty Studio and Unisex Salon,NP,44600
,+97715093519,लिसम,"ब्यूटी कस्मेटिक स्टोर , ठिमी",NP,44800
,+9779814015593,The,Girls World Fashion & Makeup studio,NP,44600
,+9779849829546,पञ्चकन्या,ब्युटी पार्लर एण्ड मसाज सेन्टर,NP,44800
,+9779808221502,D.J,. ब्यूटि होम एण्ड ट्र्‍ेनिङ्ग सेन्टर,NP,44800
,+9779841232028,Prerana,Beauty Parlour,NP,44800
,+9779810320973,LOOKWELL,Salon,NP,44600
,+9779851129430,Beauty,Zone Beauty Parlour,NP,
,+9779860063110,Roslin,Beauty Home,NP,44600
,+9779860354676,सौन्दर्य,ब्यूटी पार्लर एण्ड टे्र्‍निङ्ग सेन्टर,NP,44600
,+9779841308892,स्पर्श,र चमक सौन्दर्य घर,NP,44600
,+9779841528229,Shubisha,Beauty Parlour & Training Center,NP,44600
,+9779841040821,लुमन्ति,ब्यूटी होम एण्ड ट्र्‍ेनिङ्ग सेन्टर,NP,44800
,+9779841722238,OM,BEAUTY PARLOUR AND TRENING CENTER,NP,44600
,+9779841435909,Saanz,Glowing Makeup Studio,NP,44600
,+97716637281,Makeover,Beauty Parlour Tranning Center,NP,44600
,+9779803223537,G1,Beauty Parlour & Makeup Studio,NP,45600
,+9779808362684,Hidden,Beauty Academy,NP,44600
,+9779803682432,Glam,Up Beauty Parlour and Training Center,NP,44600
,+9779842655519,शिवम्,कस्मेटिक एण्ड व्युटिपार्लर शप,NP,44600
,+9779841543877,नरेश,ब्यूटी होम,NP,44600
,+9779885174502,Barahi,Beauty Parlour and Cosmetics,NP,
,+9779843082062,Aaina,& edge unisex saloon,NP,44600
,+9779841245664,Jagulu,Cosmestic & Beauty Parlour,NP,44600
,+9779803027775,Angel,Beauty Parlour,NP,44800
,+9779841736437,सूर्यमुखी,ब्यूटी पार्लर अनि ट्रेनिंग सेन्टर,NP,44800
,+9779845165648,Glam,With Maishu,NP,
,+9779823831882,Ranjals,aesthetic korean shop and Beauty Parlour,NP,45210
,+9779841689372,CTEVT,AFFILIATED PEARL BEAUTY PARLOUR & TRAINING CENTER,NP,45210
,+9779843362092,imana,unisex salon and academy,NP,45210
,+9779818330580,Makeover,Beauty point,NP,45210
,+9779843414037,Aalooza,"Nails, Beauty Spa and training centre",NP,45210
,+9779843531990,Makeover,Beauty Salon,NP,45210
,+9779841206255,Unic,Beauty And Hair Care,NP,45210
,+9779849695629,Prasansha,Beauty Parlour And Treaning Center,NP,45210
,+9779841735752,Charm,Beauty Care,NP,45210
,+9779841779293,CTEVT,Affiliates CUTS AND CARE B.P & T.C,NP,45210
,+9779841104856,Creative,Hair Cutting Saloon,NP,45210
,+9779823544249,Banepa,Facial House Skin Care & Makeup Studio,NP,45210
,+9779811236003,Ajay,hair cutting salon and ladies & gents parlor,NP,45210
,+9779841637247,Bless,Makeup Studio and skin care,NP,45210
,+9779843567996,Pragati,beauty care and training center,NP,45210
,+9779849316975,Shree,Chandeshwori Hair Cutting Center,NP,45210
,+9779817278990,Sanisha,"Makeups,The Makeup Studio",NP,45210
,+9779813123450,Badal,Hair Cutting Salon,NP,45210
,+9779840259812,Makeup,Mantra Makeup Studio,NP,45210
,+9779851058591,हेयर,सेलून,NP,45210
,+9779843633345,Prajana,Beauty Parlour And Cosmetic Center,NP,45200
,+9779705181819,Amara,Skin & Hair Clinic,NP,45210
,+9779841621408,Sham,Hair Salon,NP,45200
,+9779849577630,Manju,Beauty Parlor,NP,
,+9779823457467,Sunshine,Beauty Parlour,NP,45210
,+9779818636656,Shree,Shidi Vinayak Beauty parlour,NP,
,+9779813451412,New,Royal Beauty and Unisex Salon,NP,44600
,+9779745699898,Treasure,Unisex Salon And Academy,NP,44600
,+9779808428150,Plush,Salon and Makeup Academy,NP,44600
,+9779851400005,M,Style Salon and Beauty Hub,NP,44600
,+9779848067588,Elite,Hair Artist Salon and Academy,NP,44600
,+97715912952,Benchmarks,Hair & Beauty Studio | Academy,NP,44600
,+97714542030,Lavish,Salon,NP,44600
,+9779860917399,Akala,Hair and beauty salon,NP,44600
,+9779860293120,Krish,Hair and Beauty Salon,NP,44600
,+97714917717,Shantaz,Salon and International Academy,NP,44600
,+9779706091284,Pi,Barber Studio,NP,44600
,+9779801021263,&,Salon,NP,44600
,+9779842748877,Shahinoor,Unisex Salon Samakoshi,NP,46000
,+9779849209569,Yang,beauty care,NP,44600
,+9779847533414,फील,युनिसेक्स ब्यूटी सैलुन र प्रशिक्षण केन्द्र,NP,44600
,+9779843477274,FEELING'S,BEAUTY & TRAINING CENTRE,NP,44600
,+9779812127568,Kaluwa,Unisex Parlour,NP,44617
,+9779857075295,Monika,Unisex Salon & Academy,NP,44600
,+9779851223829,Lavish,Beauty Studio and Training Center,NP,44600
,+9779802351301,nails,academy,NP,44600
,+97714582806,Ananeke,Beauty Salon,NP,44600
,+9779860954232,Shantaj,Beauty Salon & Training Center,NP,44600
,+9779860535460,Emacity,_Nepal,NP,44600
,+9779851353700,Reflections,Beauty Salon,NP,44600
,+97715339065,Bliss,by Sakil Kunwar Durbar Marg,NP,
,+9779703580657,Beauty,Parlor,NP,44600
,+97714522551,The,Beauty Bar,NP,44600
,+9779851321376,Jasmine,Unisex Salon & Academy,NP,44600
,+97714526142,GlowToGlow,The Beauty Studio - Best Bridal Makeup in Kathmandu Nepal,NP,44600
,+97714561383,बाल-मा,भएको पेटी,NP,44602
,+9779808891676,J&J,Unisex Salon,NP,44600
,+9779843048345,Goodwill,Spa & Beauty Parlour,NP,44600
,+9779851096622,Laxmi,Beauty Studio & Unisex Salon,NP,44600
,+9779802318104,Julie's,Unisex Salon Durbar marg,NP,44600
,+9779851012061,neeldavid,,NP,44600
,+9779851206692,Diamond,Beauty Hub,NP,44600
,+9779862749360,Beyond,Beauty Salon Academy,NP,44600
,+9779810125652,Archanique,Unisex Salon,NP,44600
,+9779851023825,Posh,Beauty Studio,NP,44600
,+9779805044215,Creamy,Unisex Beauty Salon,NP,44600
,+9779810020638,o2,Nails & Beauty Studio,NP,44600
,+9779843709050,REETAZ,REDEFINED BEAUTY PARLOR,NP,44600
,+9779808122854,Midas,Touch - Home Salon Service,NP,44600
,+9779841216498,Lotus,Skin And Hair Care Beauty Parlour,NP,44600
,+9779863494919,Zenny's,Beauty Salon And Training Center,NP,44600
