Email,Phone,First Name,Last Name,Country,Zip
,+9779822783805,Anita,beauty salon and makeup studio,NP,44600
,+9779742871601,h78nepal,,NP,44600
,+9779813672814,Shine,Make-up Studio Beauty Salon & Training Center,NP,44700
,+9779818048168,Sense,Unisex Salon,NP,44700
,+9779802351564,Zoom,Beauty Academy - Best Beauty Academy in Nepal,NP,44600
,+9779802351568,Zoom,Beauty Academy - Best Beauty Academy in Gwarko Lalitpur,NP,44700
,+9779706387488,The,Mirror Unisex Salon,NP,44700
,+9779841894017,J,B Parlor and Training Center,NP,447
,+97715447842,Le,Salon,NP,44600
,+9779705678754,Le,Belle Studio,NP,44600
,+9779808267530,Bellissimo,The Beauty Studio (Unisex Salon),NP,44600
,+97715916241,In,Bloom,NP,44600
,+97715431341,Embellish,"Studio,Pulchowk (Salon)",NP,44700
,+9779849450974,Cutting,Edge Unisex Salon,NP,44600
,+9779851157854,Glam,Appearance,NP,44600
,+9779810179560,Kathmandu,Hair and Beauty Studio,NP,44100
,+9779802351556,Zoom,Beauty Academy - Best Beauty Academy in Kausaltar Bhaktapur,NP,44600
,+9779745874569,Laxmi,Beauty Home,NP,44800
,+9779841725757,DeBeautilox,Unisex Salon and Makeup Studio,NP,
,+9779849557528,Pearl,Beauty Home,NP,44800
,+9779841620517,Ceeru's,Beauty Salon,NP,44800
,+9779861550413,J,S Beauty Parlour & Training Institute,NP,44800
,+9779840464880,Leezuu,Beauty Home,NP,44800
,+9779801227448,KB,Stylish Suryabinayak,NP,44800
,+9779843038569,परि,ब्यूटी पार्लर एण्ड कस्मेटीक सेन्टर,NP,44800
,+9779842400007,Kohinoor,Beauty Parlour Nikoshera,NP,44800
,+9779808561602,De'Lavish,Beauty Centre,NP,44600
,+9779851097472,Nirjara,Beauty Salon : Best Beauty Parlour in Kathmandu,NP,44600
,+9779849337633,Sabi,beauty and Hair Salon,NP,44600
,+9779842748877,Shahinoor,Unisex Salon,NP,46000
,+9779841351074,Purnima,Beauty Home,NP,44600
,+97715218293,Royal,Star Beauty parlour and Nail Art training center,NP,44600
,+9779849791855,Elegance,Beauty Salon and Training Centre,NP,44600
,+9779842455193,Aspire,Beauty Unisex Salon Academy,NP,44600
,+9779812090666,Heaven,Beautyparlor and Tiktok Makeup Studio,NP,44600
,+9779861518591,Glow,up beauty with makeup studio & training center,NP,44800
,+9779809631894,Shining,Look Beauty Salon,NP,44600
,+9779843626970,RD,Unisex Salon,NP,44600
,+9779801227448,KB,Stylish Koteshwor,NP,44600
,+NP987651679,R.P.,Parlor And Spa,NP,44600
,+9779708240714,NAILORÉ,,NP,44600
,+9779851116142,Glow,To Glow - Best Beauty Academy in Kathmandu Nepal,NP,44600
,+9779823034698,Classy,Beauty Care & Training Center,NP,283
,+9779843252121,RAYS,BEAUTY STUDIO AND UNISEX SALON,NP,44600
,+9779802351559,Zoom,Beauty Academy - Best Beauty Academy in Suryabinayak Bhaktapur,NP,44800
,+9779801023216,Blush,Lounge makeup studio (Makeupbybarsa),NP,45210
,+9779863920479,Sunita,Beauty Studio,NP,45210
,+9779845997614,Meraki,Beauty Academy,NP,518272
,+9779801313861,makeup_galaxy_by_nilam,,NP,45210
,+9779702628380,Elite,Nail Studio,NP,45210
,+9779802351552,Zoom,Beauty Academy - Best Beauty Academy in Banepa Kavre,NP,
,+9779803485826,GodMother,studio,NP,12559
,+9779866003595,Fumin,Salon,NP,45210
,+9779851097472,Nirjara,Beauty Salon : Best Beauty Parlour in Kathmandu,NP,44600
,+97715911552,7,Thirteen Unisex Hair Salon,NP,44600
,+97715322702,Serene,Salon & SPA,NP,44600
,+9779821754536,Cma,Creativity (The Hair Studio) Salon,NP,44600
,+9779818459500,Beauty,& Co.,NP,44600
,+9779808429858,MY,Sangalo Luxury Studio,NP,44600
,+9779841501768,Neeldavid's,,NP,44600
,+9779826453321,Volume,Salon & Academy KTM,NP,44600
,+9779708240714,NAILORÉ,,NP,44600
,+9779803224742,Tilu,Hair & Beauty Salon,NP,44600
,+9779822783805,Anita,beauty salon and makeup studio,NP,44600
,+9779868812135,Phoenix,Unisex Salon - Best Salon In Kathmandu,NP,44600
,+97714169061,Habibs,Hair & Beauty Salon,NP,44605
,+97714531450,असाइलम,हेयर सलुन,NP,44600
,+9779809777982,Eros,Cuts,NP,44600
,+9779818074615,Breeze,Hair & Beauty Salon,NP,44600
,+9779851348288,Kesh,The Unisex Salon,NP,44600
,+9779801138668,Nirjara,Beauty Salon & Academy Chabahil,NP,44600
,+9779842748877,Shahinoor,Unisex salon Newplaza,NP,44600
,+9779812737130,Rajesh,Unisex Salon Hair & Skin Care,NP,44620
,+9779743954005,Aroma,Makeup And Beauty Studio,NP,44600
