SN,Business Name,Action
115,Amusement ride supplier,pending
116,Anhui restaurant,pending
117,Anago restaurant,pending
118,Andalusian restaurant,pending
119,Andhra restaurant,pending
120,Anesthesiologist,pending
121,Anganwadi center,pending
122,Angler fish restaurant,pending
123,Anglican church,pending
124,Animal cafe,pending
125,Animal control service,pending
126,Animal hospital,pending
127,Animal protection organization,pending
128,Animal rescue service,pending
129,Animal shelter,pending
130,Animal watering hole,pending
131,Animation studio,pending
132,Anime club,pending
133,Anodizing service,pending
134,Antique furniture restoration service,pending
135,Antique furniture store,pending
136,Antique store,pending
137,Apartment building,pending
138,Apartment complex,pending
139,Apartment rental agency,pending
140,Apostolic church,pending
141,Appliance parts supplier,pending
142,Appliance rental service,pending
143,Appliance repair service,pending
144,Appliance store,pending
145,Appliances customer service,pending
146,Applied behavior analysis therapist,pending
147,Appraiser,pending
148,Apprenticeship center,pending
149,Aquaculture farm,pending
150,Aquarium,pending
151,Aquarium shop,pending
152,Aquatic centre,pending
153,Arab restaurant,pending
154,Arboretum,pending
155,Arborist service,pending
156,Archaeological museum,pending
157,Archery club,pending
158,Archery range,pending
159,Archery store,pending
160,Architect,pending
161,Architects association,pending
162,Architectural and engineering model maker,pending
163,Architectural designer,pending
164,Architectural salvage store,pending
165,Architecture firm,pending
166,Architecture school,pending
167,Archive,pending
168,Arena,pending
169,Argentinian restaurant,pending
170,Armed forces association,pending
171,Armenian church,pending
172,Armenian restaurant,pending
173,Army & navy surplus shop,pending
174,Army barracks,pending
175,Army facility,pending
176,Army museum,pending
177,Aromatherapy class,pending
178,Aromatherapy service,pending
179,Aromatherapy supply store,pending
180,Art cafe,pending
181,Art center,pending
182,Art dealer,pending
183,Art gallery,pending
184,Art museum,pending
185,Art restoration service,pending
186,Art school,pending
187,Art studio,pending
188,Art supply store,pending
189,Artificial plant supplier,pending
190,Artist,pending
191,Arts organization,pending
192,Grill,pending
193,Asbestos testing service,pending
194,Ashram,pending
195,Asian fusion restaurant,pending
196,Asian grocery store,pending
197,Asian household goods store,pending
198,Asian restaurant,pending
199,Asphalt contractor,pending
200,Asphalt mixing plant,pending
201,Assamese restaurant,pending
202,Assemblies of God church,pending
203,Assistante maternelle,pending
204,Assisted living facility,pending
205,Association / Organization,pending
206,Aston Martin dealer,pending
207,Astrologer,pending
208,Asturian restaurant,pending
209,Asylum center,pending
210,Athletic club,pending
211,Athletic field,pending
212,Athletic park,pending
213,Athletic track,pending
214,ATM,pending
215,Attorney referral service,pending
216,ATV dealer,pending
217,ATV rental service,pending
218,ATV repair shop,pending
219,Auction house,pending
220,Audi dealer,pending
221,Audio visual consultant,pending
222,Audiovisual equipment rental service,pending
223,Audio visual equipment repair service,pending
224,Audio visual equipment supplier,pending
225,Audiologist,pending
226,Auditor,pending
227,Auditorium,pending
228,Australian goods store,pending
229,Australian restaurant,pending
230,Austrian restaurant,pending
231,Auto accessories wholesaler,pending
232,Auto air conditioning service,pending
233,Auto auction,pending
234,Auto body parts supplier,pending
235,Auto body shop,pending
236,Auto bodywork mechanic,pending
237,Auto broker,pending
238,Auto care products store,pending
239,Auto chemistry shop,pending
240,Auto dent removal service,pending
241,Auto electrical service,pending
242,Auto glass repair service,pending
243,Auto glass shop,pending
244,Auto insurance agency,pending
245,Auto machine shop,pending
246,Auto market,pending
247,Auto painting,pending
248,Auto parts manufacturer,pending
249,Auto parts market,pending
250,Auto parts store,pending
251,Auto radiator repair service,pending
252,Auto repair shop,pending
253,Auto restoration service,pending
254,Auto rickshaw stand,pending
255,Auto spring shop,pending
256,Auto sunroof shop,pending
257,Auto tag agency,pending
258,Auto tune up service,pending
259,Auto upholsterer,pending
260,Auto window tinting service,pending
261,Auto wrecker,pending
262,Automation company,pending
263,Automobile storage facility,pending
264,Aviation consultant,pending
265,Aviation training institute,pending
266,Awadhi restaurant,pending
267,Awning supplier,pending
268,Ayam penyet restaurant,pending
269,Ayurvedic clinic,pending
270,Azerbaijani restaurant,pending
271,Baby clothing store,pending
272,Baby store,pending
273,Baby swimming school,pending
274,Childminder,pending
275,Baden restaurant,pending
276,Badminton club,pending
277,Badminton complex,pending
278,Badminton court,pending
279,Bag shop,pending
280,Bagel shop,pending
281,Bahá’í house of worship,pending
282,Bail bonds service,pending
283,Bait shop,pending
284,Bakery,pending
285,Bakery equipment,pending
286,Baking supply store,pending
287,Bakso restaurant,pending
288,Balinese restaurant,pending
289,Ballet school,pending
290,Ballet theater,pending
291,Balloon artist,pending
292,Balloon ride tour agency,pending
293,Balloon store,pending
294,Ballroom dance instructor,pending
295,Band,pending
296,Bangladeshi restaurant,pending
297,Bangle Shop,pending
298,Bank,pending
299,Bankruptcy attorney,pending
300,Bankruptcy service,pending
301,Banner store,pending
302,Banquet hall,pending
303,Baptist church,pending
304,Bar,pending
305,Bar & grill,pending
306,Bar PMU,pending
307,Bar restaurant furniture store,pending
308,Bar stool supplier,pending
309,Bar tabac,pending
310,Barbecue restaurant,pending
311,Barbecue area,pending
312,Barber school,pending
313,Barber shop,pending
314,Barber supply store,pending
315,Bariatric surgeon,pending
316,Bark supplier,pending
317,Barrel supplier,pending
318,Barrister,pending
319,Bartending school,pending
320,Baseball club,pending
321,Baseball field,pending
322,Baseball goods store,pending
323,Basilica,pending
324,Basket supplier,pending
325,Basketball club,pending
326,Basketball court,pending
327,Basketball court contractor,pending
328,Basque restaurant,pending
329,Batak restaurant,pending
330,Bathroom remodeler,pending
331,Bathroom supply store,pending
332,Batik clothing store,pending
333,Battery manufacturer,pending
334,Battery store,pending
335,Battery wholesaler,pending
336,Batting cage center,pending
337,Bavarian restaurant,pending
338,Bazar,pending
339,Beach cleaning service,pending
340,Beach clothing store,pending
341,Beach club,pending
342,Beach entertainment shop,pending
343,Beach pavillion,pending
344,Beach volleyball club,pending
345,Beach volleyball court,pending
346,Bead store,pending
347,Bead wholesaler,pending
348,Bearing supplier,pending
349,Beautician,pending
350,Beauty product supplier,pending
351,Beauty products vending machine,pending
352,Beauty products wholesaler,pending
353,Beauty salon,pending
354,Beauty school,pending
355,Beauty supply store,pending
356,Bed & breakfast,pending
357,Bed shop,pending
358,Bedding store,pending
359,Bedroom furniture store,pending
360,Bee relocation service,pending
361,Gyudon restaurant,pending
362,Beer distributor,pending
363,Beer garden,pending
364,Beer hall,pending
365,Beer store,pending
366,Belgian restaurant,pending
367,Belt shop,pending
368,Bengali restaurant,pending
369,Bentley dealer,pending
370,Berry restaurant,pending
371,Berufsfachschule (vocational school with apprenticeship),pending
372,Betawi restaurant,pending
373,Betting agency,pending
374,Beverage distributor,pending
375,Bicycle club,pending
376,Bicycle rack,pending
377,Bicycle rental service,pending
378,Bicycle repair shop,pending
379,Bicycle store,pending
380,Bicycle wholesaler,pending
381,Bike wash,pending
382,Bikram yoga studio,pending
383,Bilingual school,pending
384,Billiards supply store,pending
385,Bingo hall,pending
386,Biochemical supplier,pending
387,Biochemistry lab,pending
388,Biofeedback therapist,pending
389,Biotechnology company,pending
390,Bird control service,pending
391,Bird shop,pending
392,Bird watching area,pending
393,Birth center,pending
394,Birth certificate service,pending
395,Birth control center,pending
396,Biryani restaurant,pending
397,Bistro,pending
398,Blacksmith,pending
399,Blast cleaning service,pending
400,School for the visually impaired,pending
401,Blinds shop,pending
402,Blood bank,pending
403,Blood donation center,pending
404,Blood testing service,pending
405,Blueprint service,pending
406,Blues club,pending
407,BMW dealer,pending
408,BMW motorcycle dealer,pending
409,BMX club,pending
410,BMX park,pending
411,BMX track,pending
412,Board game club,pending
413,Board of education,pending
414,Boarding house,pending
415,Boarding school,pending
416,Boat accessories supplier,pending
417,Boat builders,pending
418,Boat cleaning service,pending
419,Boat club,pending
420,Boat cover supplier,pending
421,Boat dealer,pending
422,Boat detailing service,pending
423,Boat ramp,pending
424,Boat rental service,pending
425,Boat repair shop,pending
426,Boat storage facility,pending
427,Boat tour agency,pending
428,Boat trailer dealer,pending
429,Boating instructor,pending
430,Bocce ball court,pending
431,Body piercing shop,pending
432,Body shaping class,pending
433,Boiler manufacturer,pending
434,Boiler supplier,pending
435,Bonesetting house,pending
436,Bonsai plant supplier,pending
437,Book publisher,pending
438,Book store,pending
439,Bookbinder,pending
440,Bookkeeping service,pending
441,Books wholesaler,pending
442,Boot camp,pending
443,Boot repair shop,pending
444,Boot store,pending
445,Border crossing station,pending
446,Border guard,pending
447,Botanica,pending
448,Botanical garden,pending
449,Bottle & can redemption center,pending
450,Bottled water supplier,pending
451,Bouncy castle hire,pending
452,Boutique,pending
453,Bowling alley,pending
454,Bowling club,pending
455,Bowling supply shop,pending
456,Box lunch supplier,pending
457,Boxing club,pending
458,Boxing gym,pending
459,Boxing ring,pending
460,Boys’ high school,pending
461,BPO company,pending
462,BPO placement agency,pending
463,Brake shop,pending
464,Branding agency,pending
465,Brazilian pastelaria,pending
466,Brazilian restaurant,pending
467,Breakfast restaurant,pending
468,Brewery,pending
469,Brewing supply store,pending
470,Brewpub,pending
471,Brick manufacturer,pending
472,Bricklayer,pending
473,Bridal shop,pending
474,Bridge,pending
475,Bridge club,pending
476,British restaurant,pending
477,Brunch restaurant,pending
478,Bubble tea store,pending
479,Buddhist supplies store,pending
480,Buddhist temple,pending
481,Buffet restaurant,pending
482,Bugatti dealer,pending
483,Buick dealer,pending
484,Building consultant,pending
485,Building designer,pending
486,Building equipment hire service,pending
487,Building firm,pending
488,Building inspector,pending
489,Building materials market,pending
490,Building materials store,pending
491,Building materials supplier,pending
492,Building restoration service,pending
493,Building society,pending
494,Chartered surveyor,pending
495,Bulgarian restaurant,pending
496,Bullring,pending
497,Bungee jumping center,pending
498,Burglar alarm store,pending
499,Burmese restaurant,pending
500,Burrito restaurant,pending
501,Bus charter,pending
502,Bus company,pending
503,Bus depot,pending
504,Bus ticket agency,pending
505,Bus tour agency,pending
506,Business administration service,pending
507,Business attorney,pending
508,Business banking service,pending
509,Business broker,pending
510,Business center,pending
511,Business development service,pending
512,Business management consultant,pending
513,Business networking company,pending
514,Business park,pending
515,Business school,pending
516,Business to business service,pending
517,Butane gas supplier,pending
518,Butcher shop,pending
519,Butcher shop deli,pending
520,Butsudan store,pending
521,Cabaret club,pending
522,Cabin rental agency,pending
523,Cabinet maker,pending
524,Cabinet store,pending
525,Cable company,pending
526,Cadillac dealer,pending
527,Cafe,pending
528,Cafeteria,pending
529,Cajun restaurant,pending
530,Cake decorating equipment shop,pending
531,Cake shop,pending
532,Californian restaurant,pending
533,Call center,pending
534,Call shop,pending
535,Calligraphy lesson,pending
536,Calvary Chapel church,pending
537,Cambodian restaurant,pending
538,Camera repair shop,pending
539,Camera store,pending
540,Children’s camp,pending
541,Camper shell supplier,pending
542,Campground,pending
543,Camping cabin,pending
544,Camping farm,pending
545,Camping store,pending
546,Pacific Northwest restaurant (Canada),pending
547,Canadian restaurant,pending
548,Cancer treatment center,pending
549,Candle store,pending
550,Candy store,pending
551,Cane furniture store,pending
552,Cannabis club,pending
553,Cannabis store,pending
554,Cannery,pending
555,Canoe and kayak club,pending
556,Canoe & kayak rental service,pending
557,Canoe & kayak store,pending
558,Canoe & kayak tour agency,pending
559,Canoeing area,pending
560,Cantabrian restaurant,pending
561,Cantonese restaurant,pending
562,Cape Verdean restaurant,pending
563,Capoeira school,pending
564,Capsule hotel,pending
565,Car accessories store,pending
566,Car alarm supplier,pending
567,Car battery store,pending
568,Car dealer,pending
569,Car detailing service,pending
570,Car factory,pending
571,Car finance and loan company,pending
572,Car inspection station,pending
573,Car leasing service,pending
574,Car manufacturer,pending
575,Car racing track,pending
576,Car rental agency,pending
577,Car repair and maintenance service,pending
578,Car security system installer,pending
579,Chauffeur service,pending
580,Car sharing location,pending
581,Car stereo store,pending
582,Car wash,pending
583,Carabinieri police,pending
584,Cardiologist,pending
585,Cardiovascular and thoracic surgeon,pending
586,Career guidance service,pending
587,Caribbean restaurant,pending
588,Carnival club,pending
589,Carpenter,pending
590,Carpet cleaning service,pending
591,Carpet installer,pending
592,Carpet manufacturer,pending
593,Carpet store,pending
594,Carpet wholesaler,pending
595,Carpooling location,pending
596,Carport and pergola builder,pending
597,Carriage ride service,pending
598,Carvery,pending
599,Cash and carry wholesaler,pending
600,Casino,pending
601,Casino hotel,pending
602,Casket service,pending
603,Castilian restaurant,pending
604,Castle,pending
605,Syokudo and Teishoku restaurant,pending
606,Conveyor belt sushi restaurant,pending
607,Cat boarding service,pending
608,Cat breeder,pending
609,Cat cafe,pending
610,Cat trainer,pending
611,Catalonian restaurant,pending
612,Catering equipment rental service,pending
613,Catering food and drink supplier,pending
614,Caterer,pending
615,Cathedral,pending
616,Catholic cathedral,pending
617,Catholic church,pending
618,Catholic school,pending
619,Cattery,pending
620,Cattle farm,pending
621,Cattle market,pending
622,Caucasian restaurant,pending
623,CBSE school,pending
624,CD store,pending
625,Ceiling supplier,pending
626,Cell phone accessory store,pending
627,Cell phone charging station,pending
628,Cell phone store,pending
629,Cement manufacturer,pending
630,Cement supplier,pending
631,Cemetery,pending
632,Cendol restaurant,pending
633,Central American restaurant,pending
634,Central bank,pending
635,Central European restaurant,pending
636,Central Javanese restaurant,pending
637,Ceramic manufacturer,pending
638,Ceramics wholesaler,pending
639,Certification agency,pending
640,Certified public accountant,pending
641,Chalet,pending
642,Chamber of agriculture,pending
643,Chamber of Commerce,pending
644,Chamber of handicrafts,pending
645,Champon noodle restaurant,pending
646,Chanko restaurant,pending
647,Chapel,pending
648,Charcuterie,pending
649,Charity,pending
650,Charter school,pending
651,Chartered accountant,pending
652,Check cashing service,pending
653,Cheese manufacturer,pending
654,Cheese shop,pending
655,Cheesesteak restaurant,pending
656,Chemical engineering service,pending
657,Chemical exporter,pending
658,Chemical manufacturer,pending
659,Chemical plant,pending
660,Chemical wholesaler,pending
661,Faculty of chemistry,pending
662,Chemistry lab,pending
663,Chesapeake restaurant,pending
664,Chess and card club,pending
665,Chess club,pending
666,Chess instructor,pending
667,Chettinad restaurant,pending
668,Chevrolet dealer,pending
669,Chicken hatchery,pending
670,Chicken restaurant,pending
671,Chicken shop,pending
672,Chicken wings restaurant,pending
673,Child care agency,pending
674,Child health care centre,pending
675,Child psychiatrist,pending
676,Child psychologist,pending
677,Childbirth class,pending
678,Children’s amusement center,pending
679,Children hall,pending
680,Children Policlinic,pending
681,Children’s book store,pending
682,Children’s cafe,pending
683,Children’s clothing store,pending
684,Children’s club,pending
685,Children’s farm,pending
686,Children’s furniture store,pending
687,Children’s home,pending
688,Children’s hospital,pending
689,Children’s library,pending
690,Children’s museum,pending
691,Children’s party buffet,pending
692,Children’s party service,pending
693,Children’s store,pending
694,Children’s theater,pending
695,Chilean restaurant,pending
696,Chimney services,pending
697,Chimney sweep,pending
698,Chinaware store,pending
699,Chinese language instructor,pending
700,Chinese language school,pending
701,Chinese medicine clinic,pending
702,Chinese medicine store,pending
703,Chinese noodle restaurant,pending
704,Chinese bakery,pending
705,Chinese restaurant,pending
706,Chinese supermarket,pending
707,Chinese takeaway,pending
708,Chinese tea house,pending
709,Chiropractor,pending
710,Chocolate artisan,pending
711,Chocolate cafe,pending
712,Chocolate factory,pending
713,Chocolate shop,pending
714,Choir,pending
715,Chop bar,pending
716,Chophouse restaurant,pending
717,Christian book store,pending
718,Christian church,pending
719,Christian college,pending
720,Christmas market,pending
721,Christmas store,pending
722,Christmas tree farm,pending
723,Chrysler dealer,pending
724,Church,pending
725,Church council office,pending
726,Church of Christ,pending
727,Church of Jesus Christ of Latter-day Saints,pending
728,Church of the Nazarene,pending
729,Church supply store,pending
730,Churreria,pending
731,Cider bar,pending
732,Cider mill,pending
733,Cig kofte restaurant,pending
734,Cigar shop,pending
735,Cinema equipment supplier,pending
736,Circus,pending
737,Citizen information bureau,pending
738,Citroen dealer,pending
739,City clerk’s office,pending
740,City courthouse,pending
741,City department of transportation,pending
742,City district office,pending
743,City employment department,pending
744,City government office,pending
745,City or town hall,pending
746,City park,pending
747,City pillar shrine,pending
748,City tax office,pending
749,Civic center,pending
750,Civil defense,pending
751,Civil engineer,pending
752,Civil engineering company,pending
753,Civil examinations academy,pending
754,Civil law attorney,pending
755,Civil police,pending
756,Classified ads newspaper publisher,pending
757,Cleaners,pending
758,Cleaning products supplier,pending
759,Clergyman,pending
760,Clock repair service,pending
761,Clock and watch maker,pending
762,Closed circuit television,pending
763,Clothes and fabric manufacturer,pending
764,Clothes and fabric wholesaler,pending
765,Clothes market,pending
766,Clothing alteration service,pending
767,Clothing store,pending
768,Clothing supplier,pending
769,Clothing wholesale market place,pending
770,Clothing wholesaler,pending
771,Club,pending
772,CNG fitment center,pending
773,Compressed natural gas station,pending
774,Coaching center,pending
775,Coal exporter,pending
776,Coal supplier,pending
777,Coalfield,pending
778,Coast guard station,pending
779,Cocktail bar,pending
780,Co-ed school,pending
781,Coffee machine supplier,pending
782,Coffee roasters,pending
783,Coffee shop,pending
784,Coffee stand,pending
785,Coffee store,pending
786,Coffee vending machine,pending
787,Coffee wholesaler,pending
788,Coffin supplier,pending
789,Coin dealer,pending
790,Coin operated laundry equipment supplier,pending
791,Coin operated locker,pending
792,Cold cut store,pending
793,Cold noodle restaurant,pending
794,Cold storage facility,pending
795,Collectibles store,pending
796,College,pending
797,College of agriculture,pending
798,Colombian restaurant,pending
799,Combined primary and secondary school,pending
800,Comedy club,pending
801,Comic book store,pending
802,Comic cafe,pending
803,Commercial agent,pending
804,Commercial printer,pending
805,Commercial real estate agency,pending
806,Commercial real estate inspector,pending
807,Commercial refrigerator supplier,pending
808,Commissioner for Oaths,pending
809,Community center,pending
810,Community college,pending
811,Community garden,pending
812,Community health centre,pending
813,Community school,pending
814,Company registry,pending
815,Comprehensive secondary school,pending
816,Computer accessories store,pending
817,Computer club,pending
818,Computer consultant,pending
819,Computer desk store,pending
820,Computer hardware manufacturer,pending
821,Computer networking service,pending
822,Computer repair service,pending
823,Computer security service,pending
824,Computer service,pending
825,Computer software store,pending
826,Computer store,pending
827,Computer support and services,pending
828,Computer training school,pending
829,Computer wholesaler,pending
830,Concert hall,pending
831,Concrete contractor,pending
832,Concrete factory,pending
833,Concrete metal framework supplier,pending
834,Concrete product supplier,pending
835,Condiments supplier,pending
836,Condominium complex,pending
837,Condominium rental agency,pending
838,Confectionery store,pending
839,Confectionery wholesaler,pending
840,Conference center,pending
841,Congregation,pending
842,Conservative club,pending
843,Conservative synagogue,pending
844,Conservatory construction contractor,pending
845,Conservatory of music,pending
846,Conservatory supply & installation,pending
847,Consignment shop,pending
848,Construction and maintenance office,pending
849,Construction company,pending
850,Construction equipment supplier,pending
851,Construction machine dealer,pending
852,Construction machine rental service,pending
853,Construction material wholesaler,pending
854,Consultant,pending
855,Consumer advice center,pending
856,Contact lenses supplier,pending
857,Container service,pending
858,Container supplier,pending
859,Container terminal,pending
860,Containers supplier,pending
861,Contemporary Louisiana restaurant,pending
862,Continental restaurant,pending
863,Contractor,pending
864,Convenience store,pending
865,Convention center,pending
866,Convention information bureau,pending
867,Conveyancer,pending
868,Cookie shop,pending
869,Cooking class,pending
870,Cooking school,pending
871,Cooling plant,pending
872,Cooperative bank,pending
873,Copier repair service,pending
874,Copper supplier,pending
875,Coppersmith,pending
876,Copy shop,pending
877,Copying supply store,pending
878,Copywriting service,pending
879,Corporate campus,pending
880,Corporate gift supplier,pending
881,Corporate office,pending
882,Cosmetic dentist,pending
883,Cosmetic products manufacturer,pending
884,Cosmetic surgeon,pending
885,Cosmetics industry,pending
886,Cosmetics store,pending
887,Cosmetics wholesaler,pending
888,Cosplay cafe,pending
889,Cost accounting service,pending
890,Costa Rican restaurant,pending
891,Costume jewelry shop,pending
892,Costume rental service,pending
893,Costume store,pending
894,Cottage,pending
895,Cottage rental,pending
896,Cotton exporter,pending
897,Cotton mill,pending
898,Cotton supplier,pending
899,Council,pending
900,Counselor,pending
901,Countertop contractor,pending
902,Countertop store,pending
903,Country club,pending
904,Country food restaurant,pending
905,Country house,pending
906,Country park,pending
907,County government office,pending
908,Courier service,pending
909,Court executive officer,pending
910,Court reporter,pending
911,Couscous restaurant,pending
912,Coworking space,pending
913,Crab house,pending
914,Craft store,pending
915,Cramming school,pending
916,Crane dealer,pending
917,Crane rental agency,pending
918,Crane service,pending
919,Craniosacral therapy,pending
920,Credit counseling service,pending
921,Credit reporting agency,pending
922,Credit union,pending
923,Cremation service,pending
924,Creole restaurant,pending
925,Creperie,pending
926,Cricket club,pending
927,Cricket ground,pending
928,Cricket shop,pending
929,Crime victim service,pending
930,Criminal justice attorney,pending
931,Croatian restaurant,pending
932,Crop grower,pending
933,Croquet club,pending
934,Cruise agency,pending
935,Cruise line company,pending
936,Cruise terminal,pending
937,Crushed stone supplier,pending
938,Crypto ATM,pending
939,Cuban restaurant,pending
940,Culinary school,pending
941,Cultural association,pending
942,Cultural center,pending
943,Cultural landmark,pending
944,Cupcake shop,pending
945,Cupra dealer,pending
946,Cured ham bar,pending
947,Cured ham store,pending
948,Cured ham warehouse,pending
949,Curling club,pending
950,Curling hall,pending
951,Currency exchange service,pending
952,Curtain and upholstery cleaning service,pending
953,Curtain store,pending
954,Curtain supplier and maker,pending
955,Custom confiscated goods store,pending
956,Custom home builder,pending
957,Custom label printer,pending
958,Custom t-shirt store,pending
959,Custom tailor,pending
960,Customs broker,pending
961,Customs consultant,pending
962,Customs office,pending
963,Customs warehouse,pending
964,Cutlery store,pending
965,Cycle rickshaw stand,pending
966,Cycling park,pending
967,Czech restaurant,pending
968,Dacia dealer,pending
969,Daihatsu dealer,pending
970,Dairy,pending
971,Dairy farm,pending
972,Dairy farm equipment supplier,pending
973,Dairy store,pending
974,Dairy supplier,pending
975,Dan Dan noodle restaurant,pending
976,Dance club,pending
977,Dance company,pending
978,Dance hall,pending
979,Dance pavillion,pending
980,Dance restaurant,pending
981,Dance school,pending
982,Dance store,pending
983,Danish restaurant,pending
984,Dart bar,pending
985,Dart supply store,pending
986,Data center,pending
987,Data entry service,pending
988,Data recovery service,pending
989,Database management company,pending
990,Dating service,pending
991,Day care center,pending
992,Day spa,pending
993,Day-use onsen,pending
994,Deaf church,pending
995,Deaf service,pending
996,Dealer of Fiat Professional,pending
997,Debris removal service,pending
998,Debt collecting,pending
999,Debt collection agency,pending
1000,Decal supplier,pending
1001,Deck builder,pending
1002,Deli,pending
1003,Delivery Chinese restaurant,pending
1004,Delivery service,pending
1005,Demolition contractor,pending
1006,Jeans shop,pending
1007,Dental clinic,pending
1008,Dental hygienist,pending
1009,Dental implants periodontist,pending
1010,Dental implants provider,pending
1011,Dental insurance agency,pending
1012,Dental laboratory,pending
1013,Dental radiology,pending
1014,Dental school,pending
1015,Dental supply store,pending
1016,Dentist,pending
1017,Denture care center,pending
1018,Department of housing,pending
1019,Department of motor vehicles,pending
1020,Department of Public Safety,pending
1021,Department of Social Services,pending
1022,Department of Transportation,pending
1023,Department store,pending
1024,Dermatologist,pending
1025,Desalination plant,pending
1026,Design agency,pending
1027,Design engineer,pending
1028,Design institute,pending
1029,Desktop publishing service,pending
1030,Sweets and dessert buffet,pending
1031,Dessert restaurant,pending
1032,Dessert shop,pending
1033,Detention center,pending
1034,Dhaba,pending
1035,Diabetes center,pending
1036,Diabetes equipment supplier,pending
1037,Diabetologist,pending
1038,Diagnostic center,pending
1039,Dialysis center,pending
1040,Diamond buyer,pending
1041,Diamond dealer,pending
1042,Diaper service,pending
1043,Diesel engine dealer,pending
1044,Diesel engine repair service,pending
1045,Diesel fuel supplier,pending
1046,Dietitian,pending
1047,Digital printer,pending
1048,Digital printing service,pending
1049,Dim sum restaurant,pending
1050,Diner,pending
1051,Dinner theater,pending
1052,Direct mail advertising,pending
1053,Dirt supplier,pending
1054,Disability equipment supplier,pending
1055,Disability services and support organization,pending
1056,Adaptive sports center,pending
1057,Disc golf course,pending
1058,Disciples of Christ Church,pending
1059,Disco club,pending
1060,Discount store,pending
1061,Discount supermarket,pending
1062,Display home centre,pending
1063,Display stand manufacturer,pending
1064,Disposable tableware supplier,pending
1065,Distance learning center,pending
1066,Distillery,pending
1067,Distribution service,pending
1068,District attorney,pending
1069,District government office,pending
1070,District Justice,pending
1071,District office,pending
1072,Dive club,pending
1073,Dive shop,pending
1074,Diving center,pending
1075,Diving contractor,pending
1076,Divorce lawyer,pending
1077,Divorce service,pending
1078,DJ service,pending
1079,DJ supply store,pending
1080,Do-it-yourself shop,pending
1081,Dock builder,pending
1082,Doctor,pending
1083,Dodge dealer,pending
1084,Dog breeder,pending
1085,Dog cafe,pending
1086,Dog day care center,pending
1087,Dog park,pending
1088,Dog trainer,pending
1089,Dog walker,pending
1090,Dogsled ride service,pending
1091,Dojo restaurant,pending
1092,Doll restoration service,pending
1093,Doll store,pending
1094,Dollar store,pending
1095,Domestic abuse treatment center,pending
1096,Domestic airport,pending
