Title,Address,Phone,Country,Website,Email,mobile_number,whatsapp_number
Cma Creativity (The Hair Studio) Salon,"Bibhuti Marga, Kathmandu 44600",+9779821754536,NP,https://instagram.com,null,,
Ananeke Beauty Salon,"Tusal Marg, Kathmandu 44600",+97714582806,NP,,null,,
Aroma Makeup And Beauty Studio,"ATMA GYAN, Kathmandu 44600",+9779743954005,NP,https://facebook.com,null,,
Jawed Habib - Thamel,"Chhaya center, Kathmandu 44600",+9779705177159,NP,,null,,
J&J Unisex Salon,"P8P7+7QJ, Tokha 44600",+9779808891676,NP,,null,,
Monika Unisex Salon & Academy,Kathmandu 44600,+9779857075295,NP,,null,,
XCosmopolitan,"P87F+4JC, Kathmandu 44600",+9779851362553,NP,https://xcosmopolitan.com.np,null,,
Dolly's Unisex Beauty Salon,"बैंक ओफ काठमाडौँ को नजिकै, तीनधारा मार्ग, Kathmandu 44600",+9779801024106,NP,https://dollyscreation.com,mail@dollyscreation.com,+9779801024106,+97714445082
Neeldavid's,"Eyeplex Mall, Devkota Sadak, Kathmandu 44600",+9779841501768,NP,https://instagram.com,null,,
Eros Cuts,"P894+37F, Kathmandu 44600",+9779809777982,NP,https://eroscuts.com,null,,
Reflection Unisex,"Kathmandu Mall 3rd floor shop no. 301 D, Sundhara Marg, Kathmandu 44600",+9779816325424,NP,https://reflectionunisex.com,reflect@reflectionunisex.com,+NP20+9779816325424,+NP6600236234231005190
Serene Salon & SPA,"Hotel Yak & Yeti Lane, Durbar Marg, Kathmandu 44600",+97715322702,NP,https://serenewellnessnepal.com,null,,
J and J Beauty Academy,"Natyashwori Marg, Kathmandu 44600",+9779860134633,NP,https://jjbeautyhub.com,jjbeautyhub@gmail.com,+9779860103416,+9779860134633
SoDaana!,"Kesarmahal Rd, Kathmandu 44600",+9779818099939,NP,https://instagram.com,null,,
Peaches Wax Studio,"House no 130/4, Neel, Saraswatisthan Marg, Kathmandu 44600",+9779823855661,NP,,null,,
Reflections Beauty Salon,Kathmandu 44600,+9779851353700,NP,,null,,
Hira Salon,"Radha krishna complex, 3rd floor, Kathmandu 44600",+97714548377,NP,https://hirasalon.com,null,+9779851068377,
o2 Nails & Beauty Studio,"Chandra Vinayak Marg, Kathmandu 44600",+9779810020638,NP,,null,,
M Style Salon and Beauty Hub,"M8QJ+FVC, Kathmandu 44600",+9779851400005,NP,,null,,
Style Lounge Unisex Salon - Best Salon In Kathmandu Valley,"Pulchowk Rd, Lalitpur 44700",+97715902338,NP,,null,,
Hair & Shanti Unisex Salon Samakhusi,"2nd floor, city square mall, Kathmandu 44600",+9779704541146,NP,https://hairnshantinepal.com,hairnshantiktm@gmail.com,+97715252052,
K & S Beauty Centre,"कान्तिपथ रोड, Kathmandu 44600",+97715366095,NP,,null,,
Rising Beauty Salon & Training Center Tahachal,"Tahachal Marg, Kathmandu 44600",+9779841819129,NP,,null,,
Nirjara Beauty Salon & Academy Chabahil,"Centra Complex, Kathmandu 44600",+9779801138668,NP,https://facebook.com,null,,
Radiant Unisex Salon & Training Center,Kathmandu 44600,+9779851410393,NP,https://radiantunisexsalon.com,info@radiantunisexsalon.com,+97715911829,+9779866103257
LIMBUZ Unisex Salon,"Bhrikuti Chowk, Saraswatinagar Rd, Kathmandu 44600",+9779810099369,NP,,null,,
Veda Salon Lazimpat,"House No. 175, Narayan Gopal Sadak, Kathmandu 44600",+9779704528148,NP,,null,,
Sparadise Spa,"Gahana Pokhari Marg, Kathmandu 44600",+9779801021263,NP,,null,,
neeldavid,"Civil Mall, 1st floor, Kathmandu 44600",+9779851012061,NP,,null,,
Zoom Beauty Academy - Best Beauty Academy in Nepal,"P84G+P57 Shri Raj Bhawan, Shree Raj Bhawan, Tinkune Madan Bhandari Road, Kathmandu 44600",+9779802351564,NP,https://zoombeautyacademy.com,null,,
Rajesh Unisex Salon Hair & Skin Care,"Chowk Chagal Marg, Kathmandu 44620",+9779812737130,NP,https://facebook.com,null,,
MY Sangalo Luxury Studio,"Jagritinagar marg, Kathmandu 44600",+9779808429858,NP,https://instagram.com,null,,
Sodasi Salon & Spa Pvt. Ltd,Kathmandu 44600,+97715347161,NP,,null,,
New Creation Salon & Art Studio,"Opposite of Fresh KTM, 44600 Jhamsikhel Chowk, Lalitpur 44600",+97715426218,NP,,null,,
Jasmine Unisex Salon & Academy,"Tinchuli Chowk, Kathmandu 44600",+9779851321376,NP,,null,,
Toni & Guy Nepal - Hair Salon,"1 Durbar Mall, 3rd Floor Durbar Marg, Kathmandu 44600",+9779851088880,NP,https://toniandguy.com,hairmeetwardrobe@unileverconsumerlink.co.uk,,
Lavender Beauty Home,"Budhanilkantha-10, Aakashedha, काठमाडौँ 44600",+9779841443039,NP,,null,,
Lux Cure Beauty Salon & Spa,"Narayantar, Jorpati, Gokarneshwor, Kathmandu 44600",+9779841374973,NP,,null,,
Beauty home by Zulekha,"beside Tata motors, Kathmandu 44600",+9779706964567,NP,,null,,
Kathmandu hair and beauty studio,"Radhe Radhe Rd, Bhaktapur 44800",+9779763499950,NP,,null,,
Hair & Beauty by Sangita,"1905 restaurant and suites, Kathmandu 44600",+9779803972581,NP,https://hairsalonkathmandu.com,null,+9779803972581,
Hair n Shanti Maharajgunj,Kathmandu 44600,+9779704770765,NP,,null,,
Spark and Shine Nails,"Hotel Annapurna Arcade, Kathmandu",+9779851132433,NP,https://instagram.com,null,,
The Salon,"3 Maharajgunj Sadak, Kathmandu 44600",+9779826330696,NP,,null,,
Diamond Spa and Beauty Salon,"P8FC+896, Kathmandu 44600",+9779843866451,NP,https://facebook.com,null,,
Kesh The Unisex Salon,"Sinamangal Rd, Kathmandu 44600",+9779851348288,NP,https://keshtheunisexsalon.com.np,null,+9779851348288,+9779851348288
Doll Lashon - Beauty Studio & Academy,"Mercantile plaza, Durbar Marg, Kathmandu 44600",+9779823064417,NP,https://dolllashon.com,null,+97715920127,
Galz Beauty Parlour,"P836+868, नयाँ सडक, Kathmandu 44600",,NP,,null,,
Orane Unisex Salon & Makeup Studio,Kathmandu 44600,+9779766453842,NP,https://oraneunisexsalon.com.np,null,,
The Next Level Saloon,"| Opp to Everest Bank, Pulchowk Rd, Lalitpur 44600",+9779807917517,NP,,null,,
Bipin Hair Studio and Beauty Academy,"Rising mall, Teendhara Marg, Kathmandu 44600",+97714169004,NP,,null,,
Crown unisex salon,"Sukedhara, Sir Raj Bahadur Rd, Kathmandu 44600",+9779803435325,NP,https://instagram.com,null,,
New Raju Unisex Salon,"P865+JC4, Kathmandu 00977",+9779841535180,NP,https://instagram.com,null,,
Jas Beauty,"KL Tower, Kathmandu 44600",,NP,https://facebook.com,null,,
Rhubarb Salon of Hair Beauty Makeup & Academy,"GLOBAL IME BUILDING, Ratna Marg, +9774601637 44600",+9779801065880,NP,,null,,
RR The hair and beauty salon,"P8C5+79V, Naya Bazaar Marg, Kathmandu 44600",+9779826450239,NP,,null,,
Creamy Unisex Beauty Salon,"Gangahiti Marg, Kathmandu 44600",+9779805044215,NP,,null,,
Meena’s Nails & Beauty Studio,"Dilli Bazar Height Marg, Kathmandu 44600",+9779843238970,NP,,null,,
Feel unisex beauty salon & training center,"पुरानो बानेश्वर-३४, Devkota Sadak, 44600",+9779847533414,NP,,null,,
Refined Beauty Hub & Makeup Studio,"Jadibuti Chowk, Kathmandu 44600",+9779819100225,NP,,null,,
Lashes Makeup Studio,"3rd Floor, GR Complex, Kathmandu 44600",+97714001504,NP,https://lashesmakeupstudio.com,lashes@gmail.com,+97714001504,
Rakhi Maa Beauty Academy & Makeup Studio,Kathmandu 44600,+9779843503388,NP,,null,,
Tulip Salon,"People's Plaza, 5th Floor Khechapukhu Sadak, Kathmandu 44600",,NP,https://facebook.com,null,,
Curlstudio Nepal,"opposite Nepal Electricity Authority, Ward No. 2, Nava Marg, Kathmandu 44600",+9779705403699,NP,https://instagram.com,null,,
Zoom Beauty Academy - Best Beauty Academy in Swoyambhu Kathmandu,Kathmandu 44620,+9779802351573,NP,https://zoombeautyacademy.com,null,,
Robins Den Boutique Salon,"Gahana Pokhari, Kotal Marg, Kathmandu 44600",+9779706044652,NP,,null,,
Breeze Hair & Beauty Salon,"Opposite Boudhha Stupa, Kathmandu 44600",+9779818074615,NP,https://bit.ly,null,,
Laxmi Beauty Studio & Unisex Salon,"4th Floor, Shop No: 411, Kathmandu Mall, Sundhara Marg, Kathmandu 44600",+9779851096622,NP,,null,,
Diamond Beauty Hub,"City Square, Kathmandu 44600",+9779851206692,NP,,null,,
"Looks Salon, Beauty Hub and Training Centre",Kathmandu 44600,+9779864127681,NP,https://facebook.com,null,,
Glamour Beauty Salon & Makeup Studio,"Rudramati Chowk, Nilopool, Kathmandu 44600",+9779808099219,NP,,null,,
Elegance Beauty Salon and Training Centre,"M7QM+JWQ, Kathmandu 44600",+9779849791855,NP,https://instagram.com,null,,
Lushlooks Beauty Salon,"टुसाल, Boudhanath Sadak, Kathmandu 44600",+9779841843997,NP,,null,,
GlowToGlow The Beauty Studio - Best Bridal Makeup in Kathmandu Nepal,"Pipalbot, Kathmandu 44600",+97714526142,NP,,null,,
Anita beauty salon and makeup studio,"3rd floor, shankhamul, near patan, sano pool, investment bank, building, Kathmandu 44600",+9779822783805,NP,https://anitabeautysalon.com,null,,
Hair n Shanti Unisex salon & Academy,"Near world Link Office, 2nd Floor, Miniso Building,Jawalakhel Chowk, लगनखेल सातदोबाटो मार्ग, ललितपुर 44700",+97715455960,NP,https://hairnshantinepal.com,hairnshantiktm@gmail.com,+97715252052,
द नेक्स्ट लेभल सलुन,"| Opp to Everest Bank, Pulchowk Rd, ललितपुर 44600",+9779807917517,NP,,null,,
Rhubarb Salon of Hair Beauty Makeup & Academy,"GLOBAL IME BUILDING, रत्न मार्ग, +9774601637 44600",+9779801065880,NP,,null,,
Trendy Clippers The Beauty Salon & Training Center,ललितपुर 44600,+9779818068238,NP,,null,,
Ananeke Beauty Salon & Spa,"Labim Mall, 2nd Floor, 44600",+97715453948,NP,https://ananekesalon.com,manager.ananeke@gmail.com,+97714794675,
Style Lounge Unisex Salon - Best Salon In Kathmandu Valley,"Pulchowk Rd, ललितपुर 44700",+97715902338,NP,,null,,
La Bella Beauty Salon,ललितपुर 44600,+9779813475676,NP,,null,,
नयाँ सृष्टि सैलून र कला स्टुडियो,"Opposite of Fresh KTM, 44600 Jhamsikhel Chowk, ललितपुर 44600",+97715426218,NP,,null,,
Laxmee Hair and Beauty Studio,ललितपुर 44600,+97715420907,NP,https://laxmee.com.np,laxmeehairstudio@gmail.com,+97715100736,
Rakhi Maa Beauty Academy & Makeup Studio,काठमाडौँ 44600,+9779843503388,NP,,null,,
Hair City Salon Service & Training Center,"35 Om Sai Marg, Kathmandu 44600, lalitpur 44700",+9779841920495,NP,https://haircitysalonacademy.com,haircitysalonservicetrainingce@gmail.com,+9779841920495,
Refined Beauty Hub & Makeup Studio,"Jadibuti Chowk, काठमाडौँ 44600",+9779819100225,NP,,null,,
"Bellisima Beauty Parlour & Training Centre - The Best Beauty Parlour in Harihar Bhawan, Pulchowk",ललितपुर 44600,+9779863033482,NP,,null,,
Envy Beauty Bar,Rata makai chowk,+9779813914266,NP,,null,,
N.S Parlour and Training Center,ललितपुर 44700,+9779861591342,NP,,null,,
Studio Lavish Unisex Salon,ललितपुर 44600,+97715436614,NP,,null,,
bpretty Beauty Salon,ललितपुर 44600,+9779801153499,NP,https://bprettysalon.com,bprettysalon@gmail.com,+9779801153499,
Bluesky Beauty Salon & Academy,Damkal Chakrapath Marg Dhobighat,+9779761649111,NP,https://blueskybeautyacademy.com,info@blueskybeautyacademy.com,+97715912593,
h78nepal,"Eti Chowk, Jana Bahal Rd, ललितपुर 44600",+9779742871601,NP,https://instagram.com,null,,
Shine Make-up Studio Beauty Salon & Training Center,"opposite to Nepal Investment Mega Bank (NIMB, M87P+QW4 Mahalaxmi, Bahun dhara chowk, Lalitpur 44700",+9779813672814,NP,https://facebook.com,null,,
Sense Unisex Salon,"near sumeru hospital, Damkal chowk, ललितपुर 44700",+9779818048168,NP,https://sense.unisex.salon.com,null,,
Sp glow up make up studio and beauty parlour,"Koteshwor -32, काठमाडौँ",+9779841002901,NP,,null,,
JLON The Beauty Bar,ललितपुर 44600,+9779818994567,NP,,null,,
Bliss by Sakil Kunwar - Labim Mall,Pulchowk-3 Lalitpur Shop No 209 Lalitpur,+97715431410,NP,,null,,
Aajal beauty parlour & Training Center & Nail Artist,"M8G9+5GM opp Ganesh Mandir, ललितपुर 44600",+9779851164874,NP,,null,,
THE REFORM SALON & MAKEUP STUDIO,ललितपुर 44700,+9779819747146,NP,,null,,
Damon Len unisex salon and Academy,ललितपुर 44600,+9779765148958,NP,,null,,
Veda Salon,"44600, ललितपुर",+9779808153972,NP,,null,,
Zoom Beauty Academy - Best Beauty Academy in Nepal,"P84G+P57 Shri Raj Bhawan, Shree Raj Bhawan, Tinkune Madan Bhandari Road, काठमाडौँ 44600",+9779802351564,NP,https://zoombeautyacademy.com,null,,
Kara Hair Salon,ललितपुर 44700,+97715428848,NP,,null,,
Get Gorgeous Beauty Bar & Training Center,"Manidwan Marg, Chakupat, Ward 11, Lalitpur Metropolitan City, Kathmandu 44700",+9779704520287,NP,,null,,
Zoom Beauty Academy - Best Beauty Academy in Gwarko Lalitpur,"M87J+V3P, ललितपुर 44700",+9779802351568,NP,https://zoombeautyacademy.com,null,,
Mechham The Unisex Salon,"Nakhipot, Lalitpur-14, ललितपुर 44700",+9779807052038,NP,,null,,
Berry Beautik Professional Salon,"3 Jhamsikhel Road, ललितपुर 44700",+9779818402280,NP,,null,,
Bliss Beauty Unisex Salon,"Koteshwor-32, काठमाडौँ 44600",+9779813585997,NP,,null,,
Yangkee Beauty Salon,"Mahalaxmi-5, Lalitpur 44600",+9779808123530,NP,,null,,
Cut and Colour Beauty Salon,ललितपुर 44600,+9779808012191,NP,,null,,
Bliss Beauty Salon & Inspiration Centre,"Damkal Chowk, ललितपुर 44700",+9779841358879,NP,,null,,
Supercuts Beauty Salon and Training Center,"M8C9+J6F, ललितपुर 44600",+9779849132327,NP,https://supercutsnepal.com,contact@supercutsnepal.com,+9779849132327,
Cut Beauty Salon & Training Academy,"सेती ओपी मार्ग, काठमाडौँ 44600",+9779851221317,NP,,null,,
D Infinity salon & academy,"44700 Ring Rd, ललितपुर 44700",+9779762285334,NP,,null,,
YESHAWANI SPA,"M85G+463, ललितपुर 44600",+9779763375596,NP,,null,,
Femina Beauty Home & Training Center,"Thasikhel-14, Damodar Marg, 44700",+9779841285928,NP,,null,,
Taj Beauty Salon Unisex & Academy,"15 Deepawali Marg, ललितपुर 44700",+9779828899657,NP,,null,,
STYLE ZONE The Unisex salon,"Milan Chowk, Tikhedewal Marg, ललितपुर 44700",+9779819992045,NP,,null,,
The wow beauty hub,"M89F+HG3, प्रयाग पोखरी मार्ग, ललितपुर 44600",+9779828070646,NP,,null,,
brows inn,"Bishal Chowk - Nakhipot Rd, ललितपुर 44700",+9779803650008,NP,,null,,
Feminist Beauty Parlour,"Opposite of Salesberry, 15 Middle Gate, ललितपुर 44700",+9779849699449,NP,,null,,
Artistry Unisex Hair And Beauty Salon,ललितपुर 44600,+9779826124237,NP,,null,,
Wedding Gown Plus Merina Beauty Parlour And Training Center,"M838+CR2, ललितपुर 44700",+9779803034909,NP,,null,,
Rekha beautiful parlur,"M85F+GV4, Bhusra norotam, ललितपुर 212104",,NP,,null,,
Icon unisex salon,"M89C+MPW, हस्पिटल रोड, ललितपुर 44700",+97715410123,NP,,null,,
Subha Beauty Salon & Training Centre,ललितपुर 44600,+9779851313064,NP,,null,,
The Barber Hub Unisex Salon!,"M89C+X5F, ललितपुर 44600",+97715920550,NP,,null,,
Bird Beauty Academy,"Tikhedewal, ललितपुर 44600",+9779841181345,NP,,null,,
Ash Hair N Beauty Salon,"Velpa Pragatinagar, Gwarko Hattiban Marg, ललितपुर 44700",+9779823651100,NP,,null,,
Glam And Glow Nails Academy,"prayag pokhari, ललितपुर 44700",+9779860280463,NP,,null,,
Satdobato Ab complex,"M85F+RJP, ललितपुर 44700",,NP,,null,,
Looks Salon Nepal,"Complex, 2nd Floor, 88 Kumaripati - Mahalaximisthan Rd, ललितपुर 44600",+9779802323533,NP,https://looksunisexsalon.com,looksunisexsalonnepal@gmail.com,+9779802323533,
The Mirror Unisex Salon,"M833+MM9, Gokul Awas Rd, lalitpur 44700",+9779706387488,NP,https://instagram.com,null,,
TST Parlour & Training Centre,"M896+8F9, ललितपुर 44600",+9779851244591,NP,,null,,
Mint Unisex Salon,ललितपुर 44700,+9779823039150,NP,,null,,
बाल ग्लोस सैलून र छाला हेरविचार,"M839+RVW, तल्चिखेल, बिशाल चोक - नखिपोट रोड, 44700",+9779803650008,NP,,null,,
J B Parlor and Training Center,"M858+QXJ, Lalitpur 447, ललितपुर",+9779841894017,NP,https://facebook.com,null,,
Yl Nail Studio,ललितपुर 44700,+9779810367699,NP,,null,,
Stella The Makeup Studio,ललितपुर 44600,+9779840265531,NP,https://flow.page,partner@flowcode.com,+19176133357,
Le Salon,"International Club, ललितपुर 44600",+97715447842,NP,https://facebook.com,null,,
The Barber Hair & Beauty Salon,"M8FC+R35, Satyamohan Joshi Marg, ललितपुर 44600",+9779767599952,NP,,null,,
Bhintuna Beauty Parlour And Training Center,"M83C+Q72, सातदोबाटो-टीकाभैरब मार्ग, ललितपुर 44700",,NP,,null,,
Megha's Beauty Parlour,"Khumaltar Height, ललितपुर 44700",+9779849305767,NP,,null,,
Deja vu Unisex Beauty Zone,"M89F+CR9, प्रयाग पोखरी मार्ग, ललितपुर",,NP,https://m.facebook.com,null,,
Poonam Beauty Parlour & Training Center,"American GED Chowk, ललितपुर 44700",+9779705651123,NP,,null,,
Le Belle Studio,"Steel Tower, ललितपुर 44600",+9779705678754,NP,https://lebellstudio.com,null,,
Bellissimo The Beauty Studio (Unisex Salon),"M8G8+639, ललितपुर 44600",+9779808267530,NP,https://facebook.com,null,,
Shreya beauty parlour,"M898+2HV, ललितपुर 44600",+9779841852070,NP,,null,,
The ladies world beauty home and training center,ललितपुर 44700,+9779863021694,NP,,null,,
Aa-jaay cuts unisex saloon,ललितपुर 44600,+9779849206098,NP,,null,,
Beauty Lord unisex salon,"Mount View Residency, ललितपुर 33800",+9779851335313,NP,,null,,
Peach Perfect Waxing,"619 Pulchowk Jhamsikhel Marg, ललितपुर 44700",+9779821357118,NP,,null,,
In Bloom,"M8C8+R75, ललितपुर 44600",+97715916241,NP,https://instagram.com,null,,
New moon beauty spa,"M887+3MR, Damodar Marg, ललितपुर 44700",+9779767864373,NP,,null,,
Aaska Glamour Academy Satdobato Branch,"M86G+4JP, Sincha Galli, ललितपुर 44700",+9779851327286,NP,,null,,
"Embellish Studio,Pulchowk (Salon)","Pulchowk Rd, ललितपुर 44700",+97715431341,NP,https://facebook.com,null,,
Aaska Glamour Academy Satdobato Branch,"M86G+3MW, ललितपुर 44700",,NP,,null,,
"Peare stylish beauty home &training center,Kumaripati","M8C9+HF2, लगनखेल सातदोबाटो मार्ग, ललितपुर 44600",+9779841456890,NP,,null,,
Wave salon gwarko Lalitpur,"opposite to united school, M88P+667 Wave salon, 44700",+9779707473465,NP,,null,,
Cutting Edge Unisex Salon,"उग्रचण्डी टोल, 44600, ललितपुर 44600",+9779849450974,NP,https://instagram.com,null,,
KAASHAVI BEAUTY SALON WITH COSMETIC AND TRAINING CENTER,"near Santa Nirangkaari Bhawan, Mahalaxmithan-4, ललितपुर 44200",+9779842838977,NP,,null,,
STYLE SPELL BEAUTY SALON & ACADEMY,,+9779869127095,NP,,null,,
Glam Appearance,"पाटनढोका सडक, ललितपुर 44600",+9779851157854,NP,https://instagram.com,null,,
Kathmandu Hair and Beauty Studio,कार्यविनायक 44100,+9779810179560,NP,https://kathmandusalon.com,null,,
Yashrim beauty parlour,"M8CF+5C8, टंगल रोड, ललितपुर 44700",+9779841741989,NP,,null,,
Sunshine Beauty Parlour & Training Center,"M8F5+P9R, ललितपुर 44600",+9779841567304,NP,,null,,
Samsara makeup studio and beauty hub,"Gwarko, Bahundhara",+9779808774256,NP,,null,,
Lookisimo Nails and Eyelashes Extension Salon,"कृष्ण गल्ली, ललितपुर 44600",+9779815618770,NP,,null,,
Bekha Salon,"M89G+6XQ Okubahal, ललितपुर 44600",+9779702454339,NP,,null,,
Ultimate Hair Studio & Salon,"Damkal Sundarighat Marg Purba, ललितपुर 44700",+9779818402370,NP,,null,,
LePosh Luxury Unisex Salon,"Yala Court, ललितपुर 44600",+97715910400,NP,,null,,
Ramri beauty academy,"M88F+RR7, ललितपुर 44700",,NP,,null,,
Glamour Makeup Studio,"Okubahal, ललितपुर",+9779841708304,NP,,null,,
Makeup Durbar,"Jhamsikhel Road, ललितपुर 44600",+9779851048658,NP,,null,,
Zoom Beauty Academy - Best Beauty Academy in Kausaltar Bhaktapur,Bhaktapur 44600,+9779802351556,NP,https://zoombeautyacademy.com,null,,
Casa Salon,"Dibyashwori TownPlanning, भक्तपुर 44800",+9779708961650,NP,,null,,
Scissor Sisters Hair and Beauty Salon,"Radhe Radhe Rd, भक्तपुर 44800",+9779843159994,NP,,null,,
SR Unisex Beauty Salon and Make-up Studio,"near NMB Bank, भक्तपुर 44800",+9779862937648,NP,,null,,
Krishnaaz Makeup Studio (Radhe Radhe),"Radhe Radhe Rd, भक्तपुर 44800",+9779841514869,NP,,null,,
SAMANA The Beauty Gallery,"MC8C+6QX, भक्तपुर 44800",+9779851277936,NP,,null,,
Lucent Skin and Hair Clinic -Best skin clinic in Bhaktapur,Bhaktapur 44800,+9779841430146,NP,https://lucentskinclinic.com,lucentskinclinic@gmail.com,+9779841430146,
Prava Beauty Salon and Training Center,"Balkot 2, भक्तपुर",+9779841996131,NP,,null,,
Creative hair and beauty salon radhe radhe,"M9GX+JFF Radhe radhe market, Radhe Radhe Rd, मध्यपुर थिमि",+9779860112064,NP,,null,,
Kathmandu hair and beauty studio,"Radhe Radhe Rd, भक्तपुर 44800",+9779763499950,NP,,null,,
crown & curls unisex salon,"Radhe Radhe Rd, मध्यपुर थिमि 44600",+97715915853,NP,,null,,
Beauty Heaven Spa,"M9F9+QWH, मध्यपुर थिमि 44600",+9779707934890,NP,,null,,
Guras Beauty Parlor And Cosmetic Center,"M9H7+H43, मध्यपुर थिमि 44600",+9779860695770,NP,,null,,
Golden Glow Beauty Studio and Training Center,"Kamalbinayak, भक्तपुर 44800",+9779864011394,NP,,null,,
Karuna's Beauty Parlour,भक्तपुर 44800,+9779841018064,NP,,null,,
