firstname,lastname,email,phone1,phone2,phone3,address1,city,zipcode,country,website,company,tags
Veda,Hair Salon,,+97714521231,,,"Charkhal Rd, Kathmandu",,44600,NP,,Veda Hair Salon,no_website
NOVA,Beauty Salon & Academy,,+9779702131333,,,"13 Bafal Marg, Kathmandu",,44600,NP,,NOVA Beauty Salon & Academy,no_website
The,Tiara Unisex Salon,,+9779843222202,,,"M7XJ+CF8, Ring Rd, Kathmandu",,44600,NP,,The Tiara Unisex Salon,no_website
Beauty,Parlor,,+9779703580657,,,"P873+4JC, Swayambhu Marg, Kathmandu",,44600,NP,,Beauty Parlor,no_website
The,Beauty Bar,,+97714522551,,,"Sama Marga, Kathmandu",,44600,NP,,The Beauty Bar,no_website
Treasure,Unisex Salon And Academy,,+9779745699898,,,Kathmandu,,44600,NP,,Treasure Unisex Salon And Academy,no_website
Ananeke,Beauty Salon,,+97714582806,,,"Tusal Marg, Kathmandu",,44600,NP,,Ananeke Beauty Salon,no_website
Jawed,Habib - Thamel,,+9779705177159,,,"Chhaya center, Kathmandu",,44600,NP,,Jawed Habib - Thamel,no_website
J&J,Unisex Salon,,+9779808891676,,,"P8P7+7QJ, Tokha",,44600,NP,,J&J Unisex Salon,no_website
Monika,Unisex Salon & Academy,,+9779857075295,,,Kathmandu,,44600,NP,,Monika Unisex Salon & Academy,no_website
Peaches,Wax Studio,,+9779823855661,,,"House no 130/4, Neel, Saraswatisthan Marg, Kathmandu",,44600,NP,,Peaches Wax Studio,no_website
Reflections,Beauty Salon,,+9779851353700,,,Kathmandu,,44600,NP,,Reflections Beauty Salon,no_website
o2,Nails & Beauty Studio,,+9779810020638,,,"Chandra Vinayak Marg, Kathmandu",,44600,NP,,o2 Nails & Beauty Studio,no_website
M,Style Salon and Beauty Hub,,+9779851400005,,,"M8QJ+FVC, Kathmandu",,44600,NP,,M Style Salon and Beauty Hub,no_website
Style,Lounge Unisex Salon - Best Salon In Kathmandu Valley,,+97715902338,,,"Pulchowk Rd, Lalitpur",,44700,NP,,Style Lounge Unisex Salon - Best Salon In Kathmandu Valley,no_website
K,& S Beauty Centre,,+97715366095,,,"कान्तिपथ रोड, Kathmandu",,44600,NP,,K & S Beauty Centre,no_website
Rising,Beauty Salon & Training Center Tahachal,,+9779841819129,,,"Tahachal Marg, Kathmandu",,44600,NP,,Rising Beauty Salon & Training Center Tahachal,no_website
LIMBUZ,Unisex Salon,,+9779810099369,,,"Bhrikuti Chowk, Saraswatinagar Rd, Kathmandu",,44600,NP,,LIMBUZ Unisex Salon,no_website
Veda,Salon Lazimpat,,+9779704528148,,,"House No. 175, Narayan Gopal Sadak, Kathmandu",,44600,NP,,Veda Salon Lazimpat,no_website
Sparadise,Spa,,+9779801021263,,,"Gahana Pokhari Marg, Kathmandu",,44600,NP,,Sparadise Spa,no_website
neeldavid,,,+9779851012061,,,"Civil Mall, 1st floor, Kathmandu",,44600,NP,,neeldavid,no_website
Sodasi,Salon & Spa Pvt. Ltd,,+97715347161,,,Kathmandu,,44600,NP,,Sodasi Salon & Spa Pvt. Ltd,no_website
New,Creation Salon & Art Studio,,+97715426218,,,"Opposite of Fresh KTM,  Jhamsikhel Chowk, Lalitpur",,44600,NP,,New Creation Salon & Art Studio,no_website
Jasmine,Unisex Salon & Academy,,+9779851321376,,,"Tinchuli Chowk, Kathmandu",,44600,NP,,Jasmine Unisex Salon & Academy,no_website
Lavender,Beauty Home,,+9779841443039,,,"Budhanilkantha-10, Aakashedha, काठमाडौँ",,44600,NP,,Lavender Beauty Home,no_website
Lux,Cure Beauty Salon & Spa,,+9779841374973,,,"Narayantar, Jorpati, Gokarneshwor, Kathmandu",,44600,NP,,Lux Cure Beauty Salon & Spa,no_website
Beauty,home by Zulekha,,+9779706964567,,,"beside Tata motors, Kathmandu",,44600,NP,,Beauty home by Zulekha,no_website
Kathmandu,hair and beauty studio,,+9779763499950,,,"Radhe Radhe Rd, Bhaktapur",,44800,NP,,Kathmandu hair and beauty studio,no_website
Hair,n Shanti Maharajgunj,,+9779704770765,,,Kathmandu,,44600,NP,,Hair n Shanti Maharajgunj,no_website
The,Salon,,+9779826330696,,,"3 Maharajgunj Sadak, Kathmandu",,44600,NP,,The Salon,no_website
The,Next Level Saloon,,+9779807917517,,,"| Opp to Everest Bank, Pulchowk Rd, Lalitpur",,44600,NP,,The Next Level Saloon,no_website
Bipin,Hair Studio and Beauty Academy,,+97714169004,,,"Rising mall, Teendhara Marg, Kathmandu",,44600,NP,,Bipin Hair Studio and Beauty Academy,no_website
Rhubarb,Salon of Hair Beauty Makeup & Academy,,+9779801065880,,,"GLOBAL IME BUILDING, Ratna Marg, +9774601637",,44600,NP,,Rhubarb Salon of Hair Beauty Makeup & Academy,no_website
RR,The hair and beauty salon,,+9779826450239,,,"P8C5+79V, Naya Bazaar Marg, Kathmandu",,44600,NP,,RR The hair and beauty salon,no_website
Creamy,Unisex Beauty Salon,,+9779805044215,,,"Gangahiti Marg, Kathmandu",,44600,NP,,Creamy Unisex Beauty Salon,no_website
Meena’s,Nails & Beauty Studio,,+9779843238970,,,"Dilli Bazar Height Marg, Kathmandu",,44600,NP,,Meena’s Nails & Beauty Studio,no_website
Feel,unisex beauty salon & training center,,+9779847533414,,,"पुरानो बानेश्वर-३४, Devkota Sadak",,44600,NP,,Feel unisex beauty salon & training center,no_website
Refined,Beauty Hub & Makeup Studio,,+9779819100225,,,"Jadibuti Chowk, Kathmandu",,44600,NP,,Refined Beauty Hub & Makeup Studio,no_website
Rakhi,Maa Beauty Academy & Makeup Studio,,+9779843503388,,,Kathmandu,,44600,NP,,Rakhi Maa Beauty Academy & Makeup Studio,no_website
Robins,Den Boutique Salon,,+9779706044652,,,"Gahana Pokhari, Kotal Marg, Kathmandu",,44600,NP,,Robins Den Boutique Salon,no_website
Laxmi,Beauty Studio & Unisex Salon,,+9779851096622,,,"4th Floor, Shop No: 411, Kathmandu Mall, Sundhara Marg, Kathmandu",,44600,NP,,Laxmi Beauty Studio & Unisex Salon,no_website
Diamond,Beauty Hub,,+9779851206692,,,"City Square, Kathmandu",,44600,NP,,Diamond Beauty Hub,no_website
Glamour,Beauty Salon & Makeup Studio,,+9779808099219,,,"Rudramati Chowk, Nilopool, Kathmandu",,44600,NP,,Glamour Beauty Salon & Makeup Studio,no_website
Lushlooks,Beauty Salon,,+9779841843997,,,"टुसाल, Boudhanath Sadak, Kathmandu",,44600,NP,,Lushlooks Beauty Salon,no_website
GlowToGlow,The Beauty Studio - Best Bridal Makeup in Kathmandu Nepal,,+97714526142,,,"Pipalbot, Kathmandu",,44600,NP,,GlowToGlow The Beauty Studio - Best Bridal Makeup in Kathmandu Nepal,no_website
द,नेक्स्ट लेभल सलुन,,+9779807917517,,,"| Opp to Everest Bank, Pulchowk Rd, ललितपुर",,44600,NP,,द नेक्स्ट लेभल सलुन,no_website
Rhubarb,Salon of Hair Beauty Makeup & Academy,,+9779801065880,,,"GLOBAL IME BUILDING, रत्न मार्ग, +9774601637",,44600,NP,,Rhubarb Salon of Hair Beauty Makeup & Academy,no_website
Trendy,Clippers The Beauty Salon & Training Center,,+9779818068238,,,ललितपुर,,44600,NP,,Trendy Clippers The Beauty Salon & Training Center,no_website
Style,Lounge Unisex Salon - Best Salon In Kathmandu Valley,,+97715902338,,,"Pulchowk Rd, ललितपुर",,44700,NP,,Style Lounge Unisex Salon - Best Salon In Kathmandu Valley,no_website
La,Bella Beauty Salon,,+9779813475676,,,ललितपुर,,44600,NP,,La Bella Beauty Salon,no_website
नयाँ,सृष्टि सैलून र कला स्टुडियो,,+97715426218,,,"Opposite of Fresh KTM,  Jhamsikhel Chowk, ललितपुर",,44600,NP,,नयाँ सृष्टि सैलून र कला स्टुडियो,no_website
Rakhi,Maa Beauty Academy & Makeup Studio,,+9779843503388,,,काठमाडौँ,,44600,NP,,Rakhi Maa Beauty Academy & Makeup Studio,no_website
Refined,Beauty Hub & Makeup Studio,,+9779819100225,,,"Jadibuti Chowk, काठमाडौँ",,44600,NP,,Refined Beauty Hub & Makeup Studio,no_website
Bellisima,"Beauty Parlour & Training Centre - The Best Beauty Parlour in Harihar Bhawan, Pulchowk",,+9779863033482,,,ललितपुर,,44600,NP,,"Bellisima Beauty Parlour & Training Centre - The Best Beauty Parlour in Harihar Bhawan, Pulchowk",no_website
Envy,Beauty Bar,,+9779813914266,,,Rata makai chowk,,,NP,,Envy Beauty Bar,no_website
N.S,Parlour and Training Center,,+9779861591342,,,ललितपुर,,44700,NP,,N.S Parlour and Training Center,no_website
Studio,Lavish Unisex Salon,,+97715436614,,,ललितपुर,,44600,NP,,Studio Lavish Unisex Salon,no_website
Sp,glow up make up studio and beauty parlour,,+9779841002901,,,"Koteshwor -32, काठमाडौँ",,,NP,,Sp glow up make up studio and beauty parlour,no_website
JLON,The Beauty Bar,,+9779818994567,,,ललितपुर,,44600,NP,,JLON The Beauty Bar,no_website
Bliss,by Sakil Kunwar - Labim Mall,,+97715431410,,,Pulchowk-3 Lalitpur Shop No  Lalitpur,,209,NP,,Bliss by Sakil Kunwar - Labim Mall,no_website
Aajal,beauty parlour & Training Center & Nail Artist,,+9779851164874,,,"M8G9+5GM opp Ganesh Mandir, ललितपुर",,44600,NP,,Aajal beauty parlour & Training Center & Nail Artist,no_website
THE,REFORM SALON & MAKEUP STUDIO,,+9779819747146,,,ललितपुर,,44700,NP,,THE REFORM SALON & MAKEUP STUDIO,no_website
Damon,Len unisex salon and Academy,,+9779765148958,,,ललितपुर,,44600,NP,,Damon Len unisex salon and Academy,no_website
Veda,Salon,,+9779808153972,,, ललितपुर,,44600,NP,,Veda Salon,no_website
Kara,Hair Salon,,+97715428848,,,ललितपुर,,44700,NP,,Kara Hair Salon,no_website
Get,Gorgeous Beauty Bar & Training Center,,+9779704520287,,,"Manidwan Marg, Chakupat, Ward 11, Lalitpur Metropolitan City, Kathmandu",,44700,NP,,Get Gorgeous Beauty Bar & Training Center,no_website
Mechham,The Unisex Salon,,+9779807052038,,,"Nakhipot, Lalitpur-14, ललितपुर",,44700,NP,,Mechham The Unisex Salon,no_website
Berry,Beautik Professional Salon,,+9779818402280,,,"3 Jhamsikhel Road, ललितपुर",,44700,NP,,Berry Beautik Professional Salon,no_website
Bliss,Beauty Unisex Salon,,+9779813585997,,,"Koteshwor-32, काठमाडौँ",,44600,NP,,Bliss Beauty Unisex Salon,no_website
Yangkee,Beauty Salon,,+9779808123530,,,"Mahalaxmi-5, Lalitpur",,44600,NP,,Yangkee Beauty Salon,no_website
Cut,and Colour Beauty Salon,,+9779808012191,,,ललितपुर,,44600,NP,,Cut and Colour Beauty Salon,no_website
Bliss,Beauty Salon & Inspiration Centre,,+9779841358879,,,"Damkal Chowk, ललितपुर",,44700,NP,,Bliss Beauty Salon & Inspiration Centre,no_website
Cut,Beauty Salon & Training Academy,,+9779851221317,,,"सेती ओपी मार्ग, काठमाडौँ",,44600,NP,,Cut Beauty Salon & Training Academy,no_website
D,Infinity salon & academy,,+9779762285334,,,"Ring Rd, ललितपुर",,44700,NP,,D Infinity salon & academy,no_website
YESHAWANI,SPA,,+9779763375596,,,"M85G+463, ललितपुर",,44600,NP,,YESHAWANI SPA,no_website
Femina,Beauty Home & Training Center,,+9779841285928,,,"Thasikhel-14, Damodar Marg",,44700,NP,,Femina Beauty Home & Training Center,no_website
Taj,Beauty Salon Unisex & Academy,,+9779828899657,,,"15 Deepawali Marg, ललितपुर",,44700,NP,,Taj Beauty Salon Unisex & Academy,no_website
STYLE,ZONE The Unisex salon,,+9779819992045,,,"Milan Chowk, Tikhedewal Marg, ललितपुर",,44700,NP,,STYLE ZONE The Unisex salon,no_website
The,wow beauty hub,,+9779828070646,,,"M89F+HG3, प्रयाग पोखरी मार्ग, ललितपुर",,44600,NP,,The wow beauty hub,no_website
brows,inn,,+9779803650008,,,"Bishal Chowk - Nakhipot Rd, ललितपुर",,44700,NP,,brows inn,no_website
Feminist,Beauty Parlour,,+9779849699449,,,"Opposite of Salesberry, 15 Middle Gate, ललितपुर",,44700,NP,,Feminist Beauty Parlour,no_website
Artistry,Unisex Hair And Beauty Salon,,+9779826124237,,,ललितपुर,,44600,NP,,Artistry Unisex Hair And Beauty Salon,no_website
Wedding,Gown Plus Merina Beauty Parlour And Training Center,,+9779803034909,,,"M838+CR2, ललितपुर",,44700,NP,,Wedding Gown Plus Merina Beauty Parlour And Training Center,no_website
Icon,unisex salon,,+97715410123,,,"M89C+MPW, हस्पिटल रोड, ललितपुर",,44700,NP,,Icon unisex salon,no_website
Subha,Beauty Salon & Training Centre,,+9779851313064,,,ललितपुर,,44600,NP,,Subha Beauty Salon & Training Centre,no_website
The,Barber Hub Unisex Salon!,,+97715920550,,,"M89C+X5F, ललितपुर",,44600,NP,,The Barber Hub Unisex Salon!,no_website
Bird,Beauty Academy,,+9779841181345,,,"Tikhedewal, ललितपुर",,44600,NP,,Bird Beauty Academy,no_website
Ash,Hair N Beauty Salon,,+9779823651100,,,"Velpa Pragatinagar, Gwarko Hattiban Marg, ललितपुर",,44700,NP,,Ash Hair N Beauty Salon,no_website
Glam,And Glow Nails Academy,,+9779860280463,,,"prayag pokhari, ललितपुर",,44700,NP,,Glam And Glow Nails Academy,no_website
TST,Parlour & Training Centre,,+9779851244591,,,"M896+8F9, ललितपुर",,44600,NP,,TST Parlour & Training Centre,no_website
Mint,Unisex Salon,,+9779823039150,,,ललितपुर,,44700,NP,,Mint Unisex Salon,no_website
बाल,ग्लोस सैलून र छाला हेरविचार,,+9779803650008,,,"M839+RVW, तल्चिखेल, बिशाल चोक - नखिपोट रोड",,44700,NP,,बाल ग्लोस सैलून र छाला हेरविचार,no_website
Yl,Nail Studio,,+9779810367699,,,ललितपुर,,44700,NP,,Yl Nail Studio,no_website
The,Barber Hair & Beauty Salon,,+9779767599952,,,"M8FC+R35, Satyamohan Joshi Marg, ललितपुर",,44600,NP,,The Barber Hair & Beauty Salon,no_website
Megha's,Beauty Parlour,,+9779849305767,,,"Khumaltar Height, ललितपुर",,44700,NP,,Megha's Beauty Parlour,no_website
Poonam,Beauty Parlour & Training Center,,+9779705651123,,,"American GED Chowk, ललितपुर",,44700,NP,,Poonam Beauty Parlour & Training Center,no_website
Shreya,beauty parlour,,+9779841852070,,,"M898+2HV, ललितपुर",,44600,NP,,Shreya beauty parlour,no_website
The,ladies world beauty home and training center,,+9779863021694,,,ललितपुर,,44700,NP,,The ladies world beauty home and training center,no_website
Aa-jaay,cuts unisex saloon,,+9779849206098,,,ललितपुर,,44600,NP,,Aa-jaay cuts unisex saloon,no_website
Beauty,Lord unisex salon,,+9779851335313,,,"Mount View Residency, ललितपुर",,33800,NP,,Beauty Lord unisex salon,no_website
Peach,Perfect Waxing,,+9779821357118,,,"619 Pulchowk Jhamsikhel Marg, ललितपुर",,44700,NP,,Peach Perfect Waxing,no_website
New,moon beauty spa,,+9779767864373,,,"M887+3MR, Damodar Marg, ललितपुर",,44700,NP,,New moon beauty spa,no_website
Aaska,Glamour Academy Satdobato Branch,,+9779851327286,,,"M86G+4JP, Sincha Galli, ललितपुर",,44700,NP,,Aaska Glamour Academy Satdobato Branch,no_website
Peare,"stylish beauty home &training center,Kumaripati",,+9779841456890,,,"M8C9+HF2, लगनखेल सातदोबाटो मार्ग, ललितपुर",,44600,NP,,"Peare stylish beauty home &training center,Kumaripati",no_website
Wave,salon gwarko Lalitpur,,+9779707473465,,,"opposite to united school, M88P+667 Wave salon",,44700,NP,,Wave salon gwarko Lalitpur,no_website
KAASHAVI,BEAUTY SALON WITH COSMETIC AND TRAINING CENTER,,+9779842838977,,,"near Santa Nirangkaari Bhawan, Mahalaxmithan-4, ललितपुर",,44200,NP,,KAASHAVI BEAUTY SALON WITH COSMETIC AND TRAINING CENTER,no_website
STYLE,SPELL BEAUTY SALON & ACADEMY,,+9779869127095,,,,,,NP,,STYLE SPELL BEAUTY SALON & ACADEMY,no_website
Yashrim,beauty parlour,,+9779841741989,,,"M8CF+5C8, टंगल रोड, ललितपुर",,44700,NP,,Yashrim beauty parlour,no_website
Sunshine,Beauty Parlour & Training Center,,+9779841567304,,,"M8F5+P9R, ललितपुर",,44600,NP,,Sunshine Beauty Parlour & Training Center,no_website
Samsara,makeup studio and beauty hub,,+9779808774256,,,"Gwarko, Bahundhara",,,NP,,Samsara makeup studio and beauty hub,no_website
Lookisimo,Nails and Eyelashes Extension Salon,,+9779815618770,,,"कृष्ण गल्ली, ललितपुर",,44600,NP,,Lookisimo Nails and Eyelashes Extension Salon,no_website
Bekha,Salon,,+9779702454339,,,"M89G+6XQ Okubahal, ललितपुर",,44600,NP,,Bekha Salon,no_website
Ultimate,Hair Studio & Salon,,+9779818402370,,,"Damkal Sundarighat Marg Purba, ललितपुर",,44700,NP,,Ultimate Hair Studio & Salon,no_website
LePosh,Luxury Unisex Salon,,+97715910400,,,"Yala Court, ललितपुर",,44600,NP,,LePosh Luxury Unisex Salon,no_website
Glamour,Makeup Studio,,+9779841708304,,,"Okubahal, ललितपुर",,,NP,,Glamour Makeup Studio,no_website
Makeup,Durbar,,+9779851048658,,,"Jhamsikhel Road, ललितपुर",,44600,NP,,Makeup Durbar,no_website
Casa,Salon,,+9779708961650,,,"Dibyashwori TownPlanning, भक्तपुर",,44800,NP,,Casa Salon,no_website
Scissor,Sisters Hair and Beauty Salon,,+9779843159994,,,"Radhe Radhe Rd, भक्तपुर",,44800,NP,,Scissor Sisters Hair and Beauty Salon,no_website
SR,Unisex Beauty Salon and Make-up Studio,,+9779862937648,,,"near NMB Bank, भक्तपुर",,44800,NP,,SR Unisex Beauty Salon and Make-up Studio,no_website
Krishnaaz,Makeup Studio (Radhe Radhe),,+9779841514869,,,"Radhe Radhe Rd, भक्तपुर",,44800,NP,,Krishnaaz Makeup Studio (Radhe Radhe),no_website
SAMANA,The Beauty Gallery,,+9779851277936,,,"MC8C+6QX, भक्तपुर",,44800,NP,,SAMANA The Beauty Gallery,no_website
Prava,Beauty Salon and Training Center,,+9779841996131,,,"Balkot 2, भक्तपुर",,,NP,,Prava Beauty Salon and Training Center,no_website
Creative,hair and beauty salon radhe radhe,,+9779860112064,,,"M9GX+JFF Radhe radhe market, Radhe Radhe Rd, मध्यपुर थिमि",,,NP,,Creative hair and beauty salon radhe radhe,no_website
Kathmandu,hair and beauty studio,,+9779763499950,,,"Radhe Radhe Rd, भक्तपुर",,44800,NP,,Kathmandu hair and beauty studio,no_website
crown,& curls unisex salon,,+97715915853,,,"Radhe Radhe Rd, मध्यपुर थिमि",,44600,NP,,crown & curls unisex salon,no_website
Beauty,Heaven Spa,,+9779707934890,,,"M9F9+QWH, मध्यपुर थिमि",,44600,NP,,Beauty Heaven Spa,no_website
Guras,Beauty Parlor And Cosmetic Center,,+9779860695770,,,"M9H7+H43, मध्यपुर थिमि",,44600,NP,,Guras Beauty Parlor And Cosmetic Center,no_website
Golden,Glow Beauty Studio and Training Center,,+9779864011394,,,"Kamalbinayak, भक्तपुर",,44800,NP,,Golden Glow Beauty Studio and Training Center,no_website
Karuna's,Beauty Parlour,,+9779841018064,,,भक्तपुर,,44800,NP,,Karuna's Beauty Parlour,no_website
Shine,beauty salon and makeup studio,,+9779803657699,,,मध्यपुर थिमि,,44600,NP,,Shine beauty salon and makeup studio,no_website
Siruz,Beauty Academy and Makeup Studio,,+9779818011095,,,"M9P7+V58, Bhaktapur Road, काठमाडौँ",,44600,NP,,Siruz Beauty Academy and Makeup Studio,no_website
Beauty,Station Makeup Studio and Institute,,+9779849629268,,,"M9G6+225, मध्यपुर थिमि",,44600,NP,,Beauty Station Makeup Studio and Institute,no_website
Essence,unisex parlour,,+9779841432130,,,Manohara phant,,44600,NP,,Essence unisex parlour,no_website
Flourish.thebeautystudio,,,+9779860390146,,,"M9C4+CQF, मध्यपुर थिमि",,44600,NP,,Flourish.thebeautystudio,no_website
निशा,ब्यूटी पार्लर एण्ड कस्मेटीक,,+9779841631392,,,Bhaktapur,,44600,NP,,निशा ब्यूटी पार्लर एण्ड कस्मेटीक,no_website
Rose,beauty parlor lokanthali,,+9779860869790,,,"M9J6+3RP, मध्यपुर थिमि",,44600,NP,,Rose beauty parlor lokanthali,no_website
Sajhya,Glam Studio,,+9779851341545,,,"M9F6+P2Q, मध्यपुर थिमि",,44600,NP,,Sajhya Glam Studio,no_website
C,RAS BEAUTY STUDIO & ACADEMY By Makeupwithrashmeein,,+9779860678210,,,"Degamana, भक्तपुर",,44800,NP,,C RAS BEAUTY STUDIO & ACADEMY By Makeupwithrashmeein,no_website
Lee-Rai,Korean Beauty Salon and Spa,,+9779848006384,,,मध्यपुर थिमि,,44600,NP,,Lee-Rai Korean Beauty Salon and Spa,no_website
Amicable,Beauty & Hair Salon,,+9779843318117,,,"Kamalbinayak, भक्तपुर",,45800,NP,,Amicable Beauty & Hair Salon,no_website
The,mirror salon,,+9779861116992,,,भक्तपुर,,44800,NP,,The mirror salon,no_website
Barshu,Beauty Parlour And Cosmetics,,+97716635153,,,"M9J8+67X, मध्यपुर थिमि",,44600,NP,,Barshu Beauty Parlour And Cosmetics,no_website
Stylefix,Hair Studio Kamalbinayak Bhaktapur,,+9779849279559,,,"Parking, Kamalbinayak, भक्तपुर",,44800,NP,,Stylefix Hair Studio Kamalbinayak Bhaktapur,no_website
Sakira,Beauty Parlour & Cosmetics,,+9779843269816,,,"MC7F+H63, भक्तपुर",,44800,NP,,Sakira Beauty Parlour & Cosmetics,no_website
Birendra,Unisex Salon,,+9779801790148,,,"Bhatkyapati,(Lancha Phalacha, भक्तपुर",,44800,NP,,Birendra Unisex Salon,no_website
Glamor,Beauty Point,,+9779841431984,,,"M9GX+24W, मध्यपुर थिमि",,,NP,,Glamor Beauty Point,no_website
New,Face Beauty Parlour & Training Centre,,+9779841648601,,,"MCCH+333, Pottery Square Road, भक्तपुर",,44800,NP,,New Face Beauty Parlour & Training Centre,no_website
Blossoms,Beauty Parlour & Nails Studio,,+9779843269896,,,"Suryamadhi Taulachhen, Jhatapo gali, भक्तपुर",,44800,NP,,Blossoms Beauty Parlour & Nails Studio,no_website
Glamour,Beauty Hub And Make Up Studio,,+9779851176621,,,"MCHV+29F,  नगरकोट सडक, भक्तपुर",,44800,NP,,Glamour Beauty Hub And Make Up Studio,no_website
सुरज,हेयर कटिङ्ग सैलुन,,+9779803100825,,,"MCCF+J38, नगरकोट सडक, भक्तपुर",,44800,NP,,सुरज हेयर कटिङ्ग सैलुन,no_website
कृष्नाज,मेकअप स्टुडियो,,+97716615321,,,"60 meter east from nagarko bus station, नगरकोट सडक, भक्तपुर",,44601,NP,,कृष्नाज मेकअप स्टुडियो,no_website
Sama,Beauty Arts And Training Institute,,+9779849423898,,,"MC8G+WFJ, भक्तपुर",,44800,NP,,Sama Beauty Arts And Training Institute,no_website
R.k.,Cosmetics And Beauty Parlour,,+9779841110064,,,"MC8P+V9P, अरनिको राजमार्ग, भक्तपुर",,44800,NP,,R.k. Cosmetics And Beauty Parlour,no_website
Manzila's,Skin Care & Beauty Salon,,+9779761808022,,,"MCC5+9J9, भक्तपुर",,44800,NP,,Manzila's Skin Care & Beauty Salon,no_website
सिद्ध,पोखरी ब्युटी पार्लर एन्ड ट्रेनिङ सेन्टर,,+9779818119797,,,"MCCC+JPQ, सिद्धपोखरी मार्ग, भक्तपुर",,44800,NP,,सिद्ध पोखरी ब्युटी पार्लर एन्ड ट्रेनिङ सेन्टर,no_website
DISHMI,BEAUTY PARLOR,,+9779849618723,,,"MCM5+XR2, भक्तपुर",,,NP,,DISHMI BEAUTY PARLOR,no_website
Aakarshan,Beauty Parlour,,+97716610568,,,"MCFJ+42P, त्रिपुरासुन्दरी मार्ग, भक्तपुर",,44800,NP,,Aakarshan Beauty Parlour,no_website
Sarmeez,Beauty Zone & Training Center,,+9779869164816,,,"Kamalbinayak, भक्तपुर",,44800,NP,,Sarmeez Beauty Zone & Training Center,no_website
श्रृया,ब्युटी पार्लर एण्ड कस्मेटिक सेन्टर,,+9779849170011,,,"MCCF+MG2, नगरकोट सडक, भक्तपुर",,44800,NP,,श्रृया ब्युटी पार्लर एण्ड कस्मेटिक सेन्टर,no_website
सुमी,लेडीज टेलर्स एण्ड जेनी ब्यूटी पार्लर,,+9779849355582,,,"MCFG+3G6, इताहें, भक्तपुर",,44800,NP,,सुमी लेडीज टेलर्स एण्ड जेनी ब्यूटी पार्लर,no_website
Reshma,Beauty Club & Training Institute,,+9779843317338,,,"बाराही मन्दिर, भक्तपुर",,44800,NP,,Reshma Beauty Club & Training Institute,no_website
Birendra,Gents Parlour and salon,,+9779851038794,,,"Sipadole jagati, Bhaktapur",,44600,NP,,Birendra Gents Parlour and salon,no_website
Sk,beauty home,,+9779869290716,,,"Srijananagar-5, भक्तपुर",,44800,NP,,Sk beauty home,no_website
Om,Cosmetics & Beauty Palour,,+97716615680,,,"MCGM+F24, नगरकोट सडक, भक्तपुर",,44800,NP,,Om Cosmetics & Beauty Palour,no_website
श्रृङ्गार,ब्युटि पार्लर,,+97716611120,,,"MCCF+VJ2, नगरकोट सडक, भक्तपुर",,44800,NP,,श्रृङ्गार ब्युटि पार्लर,no_website
